smiles,logS
BrC(Br)(Br)Br,-3.14
Brc1cc(Br)c(Br)cc1Br,-6.98
Brc1cc(Br)cc(Br)c1,-5.6
Brc1ccc(Br)c(Br)c1,-4.5
Brc1ccc(Br)cc1,-4.07
Brc1ccc(I)cc1,-4.56
Brc1ccc2ccccc2c1,-4.4
Brc1cccc(Br)c1,-3.54
Brc1cccc2ccccc12,-4.35
Brc1ccccc1,-2.55
Brc1ccccc1Br,-3.5
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9
C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.617
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,-5.66
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(O)C3CCC21C,-4.57
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.5070000000000014
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-4.3
C#CC1(OC(C)=O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,-4.8
C#CCCC,-1.64
C#CCCCC,-2.36
C#CCCCCC,-3.01
C#CCCCCCC,-3.66
C#CCCCCCCC,-4.24
C/C=C/C=O,0.32
C/C=C/CC,-2.54
C/C=C/CCCC,-3.82
C/C=C\CC,-2.54
C1=CCC=CC1,-2.06
C1=CCCC1,-2.1
C1=CCCCC1,-2.59
C1=CCCCCC1,-3.18
C1=Cc2cccc3cccc1c23,-3.96
C1CCC2CCCCC2C1,-5.19
C1CCCC1,-2.64
C1CCCCC1,-3.1
C1CCCCCC1,-3.51
C1CCCCCCC1,-4.15
C1CCOC1,0.49
C1CCOCC1,-0.03
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.647
C=C(C)C(=C)C,-2.4
C=C(C)C1C=CC(C)C(=O)C1,-2.06
C=C(C)C1CC=C(C)CC1,-4.26
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,-4.42
C=C(C)CC,-2.73
C=C(C)CCC,-3.03
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124
C=C(Cl)CSC(=S)N(CC)CC,-3.39
C=CC(=C)C,-2.03
C=CC(=O)OC,-0.22
C=CC(C)(O)CCC=C(C)C,-1.99
C=CC(C)C,-2.73
C=CC(O)CCC,-0.59
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,-4.925
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.7080000000000002
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,-2.356
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46
C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16
C=CCC1(CC)C(=O)NC(=O)NC1=O,-1.614
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.077
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369
C=CCC=C,-2.09
C=CCCC,-2.68
C=CCCC=C,-2.68
C=CCCCC,-3.23
C=CCCCCC,-3.73
C=CCCCCCC,-4.44
C=CCCCCCCC,-5.05
C=CCCCCCCCC,-5.51
C=CCCCO,-0.15
C=CCSS(=O)CC=C,-0.83
C=CCc1ccc(O)c(OC)c1,-1.56
C=CCc1ccc(OC)cc1,-2.92
C=COCC,-0.85
C=Cc1ccccc1,-2.82
CC(=O)C(C)(C)C,-0.72
CC(=O)C(C)C,-0.12
CC(=O)C1(C)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,-5.27
CC(=O)C1(O)CCC2C3CC(C)=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.099
CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,-3.817
CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-4.42
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65
CC(=O)CC(C)C,-0.74
CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-5.839
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-3.893
CC(=O)CCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-3.27
CC(=O)N(C)C,1.11
CC(=O)N(c1onc(C)c1C)S(=O)c1ccc(N)cc1,-3.59
CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,-2.36
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24
CC(=O)Nc1ccc(Br)cc1,-3.083
CC(=O)Nc1ccc(Cl)cc1,-2.843
CC(=O)Nc1ccc(F)cc1,-1.78
CC(=O)Nc1ccc(O)cc1,-1.03
CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.692
CC(=O)Nc1ccccc1,-1.33
CC(=O)OC(C)C,-0.55
CC(=O)OC1(C(C)=O)CCC2C3=CC(C)=C4CC(=O)CCC4(C)C3CCC21C,-5.35
CC(=O)OC1(C)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,-5.284
CC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-5.184
CC(=O)OCC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,-4.37
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C,-4.21
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,-4.88
CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-4.63
CC(=O)OCC(C)C,-1.21
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6
CC(=O)OCCC(C)C,-1.92
CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.47
CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,-4.173
CC(=O)c1ccccc1,-1.28
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,-3.61
CC(C)(C)CCO,-0.5
CC(C)(C)CO,-0.4
CC(C)(C)Cc1ccccc1,-4.15
CC(C)(C)c1ccc(O)cc1,-2.41
CC(C)(C)c1ccccc1,-3.66
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,-5.24
CC(C)=CCC/C(C)=C\CO,-2.46
CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.593
CC(C)=CCCC(C)=CC=O,-2.06
CC(C)C(=O)C(C)C,-1.3
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876
CC(C)C(C)(C)C,-4.36
CC(C)C(C)C,-3.65
CC(C)C(C)C(C)C,-4.8
CC(C)C(C)O,-0.18
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.003
CC(C)C(O)C(C)C,-1.22
CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766
CC(C)CBr,-2.43
CC(C)CC(C)(C)C,-4.74
CC(C)CC(C)(C)O,-0.92
CC(C)CC(C)C,-4.26
CC(C)CC(C)O,-0.8
CC(C)CCC(C)(C)C,-5.05
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,-6.6370000000000005
CC(C)CCCO,-1.14
CC(C)CCO,-0.51
CC(C)CCOC=O,-1.52
CC(C)CCl,-2.0
CC(C)CNC(=O)N1CCNC1=O,-2.15
CC(C)CO,0.1
CC(C)COC=O,-1.01
CC(C)Cc1ccccc1,-4.12
CC(C)N(C(=O)CCl)c1ccccc1,-2.48
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.88
