smiles,logP,pH,Temperature
O=c1[nH]cc(F)c(=O)[nH]1,-0.89,4.0,22.0
O=c1[nH]cc(F)c(=O)[nH]1,-0.89,4.0,25.0
O=c1[nH]cc(F)c(=O)[nH]1,-0.89,4.0,37.0
CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,-0.26,7.4,25.0
CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,-0.26,7.2,35.0
O=C(O)C(=O)CC(O)O,-1.26,1.42,20.0
O=C(O)C(=O)CC(O)O,-1.26,1.42,25.0
NC(=O)CC(N)C(=O)O,-3.41,7.0,25.0
O=c1[nH]cnc2[nH]cnc12,-1.11,5.7,23.0
O=C(O)c1ccsc1,1.5,2.7976,25.0
CNS(=O)(=O)c1n[nH]c(=NC(C)=O)s1,0.49,7.2,35.0
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,0.13,7.4,22.0
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,0.13,7.4,25.0
O=C(O)C1CCCN1,-2.5,6.3,25.0
CCCC(N)C(=O)O,-2.11,5.98,20.0
N=c1c(Cl)c(Cl)[nH]c(C(=O)O)c1Cl,0.3,2.8,10.0
N=c1c(Cl)c(Cl)[nH]c(C(=O)O)c1Cl,0.3,2.8,20.0
N=c1c(Cl)c(Cl)[nH]c(C(=O)O)c1Cl,0.3,2.8,30.0
N=c1c(Cl)c(Cl)[nH]c(C(=O)O)c1Cl,0.3,2.8,40.0
O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,1.37,3.32,15.0
COC(=O)n1cc(F)c(=O)[nH]c1=O,-0.68,4.0,22.0
CNC(=O)n1cc(F)c(=O)[nH]c1=O,-0.2,4.0,22.0
O=[PH](=O)(O)c1ccccc1,0.54,0.8991,15.0
Nc1ccc(S(N)(=O)=O)cc1,-0.62,6.9,37.0
CCc1c(O)[nH]c(=O)[nH]c1=O,-0.35,2.31,25.0
Cc1ncc([N+](=O)[O-])n1CCO,-0.02,3.16,25.0
Cc1ncc([N+](=O)[O-])n1CCO,-0.02,2.69,25.0
N=c1[nH]c(=N)[nH]c(=NC2CC2)[nH]1,-0.06,7.0,20.0
N=c1[nH]c(=N)[nH]c(=NC2CC2)[nH]1,-0.06,7.0,25.0
CCCCCC(O)/C=C/C1C(O)CC(O)C1C/C=C/CCCC(=O)O,2.72,4.44,25.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,12.46,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,11.94,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,11.42,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,11.02,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,9.45,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,7.34,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,7.28,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,7.15,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,6.0,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,5.65,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,5.29,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,5.11,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.36,4.98,37.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.3,6.5,37.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,7.4,25.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,12.47,35.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,9.8,35.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,8.78,35.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,8.03,35.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,7.66,35.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,7.04,35.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,6.51,35.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,6.23,35.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,4.37,5.94,35.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,12.77,35.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,7.97,35.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,7.6,35.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,6.97,35.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,6.64,35.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,6.45,35.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,6.15,35.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,5.66,35.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3.95,7.4,25.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)C21C,3.5,2.4,37.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)C21C,3.5,3.0,20.0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,4.15,3.0,20.0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,4.15,3.0,30.0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,4.15,2.4,37.0
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.39,3.0,30.0
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.77,4.5,25.0
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.45,5.1,25.0
Nc1ccc(S(N)(=O)=O)cc1,-0.62,5.9,20.0
Nc1ccc(S(N)(=O)=O)cc1,-0.62,7.1,25.0
Nc1ccc(S(N)(=O)=O)cc1,-0.62,4.9,37.0
Nc1ccc(S(N)(=O)=O)cc1,-0.62,5.9,37.0
Nc1ccc(S(N)(=O)=O)cc1,-0.62,7.5,37.0
Nc1ccc(S(N)(=O)=O)cc1,-0.62,7.1,37.0
Nc1ccc(S(N)(=O)=O)cc1,-0.62,7.4,37.0
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-0.24,6.5,15.0
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-0.24,6.5,25.0
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-0.24,6.5,37.0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.07,6.5,15.0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.07,6.5,25.0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.07,6.5,37.0
NCCc1ccc(O)c(O)c1,-2.0,7.4,20.0
CCN=c1nc(OC)[nH]c(=NCC)[nH]1,1.82,7.0,26.0
CCN=c1nc(OC)[nH]c(=NCC)[nH]1,1.82,3.0,26.0
CCN=c1nc(C)[nH]c(=NCC)[nH]1,1.82,3.0,21.0
CCN=c1nc(SC)[nH]c(=NCC)[nH]1,2.54,3.0,26.0
N#Cc1ccc(C(=O)O)cc1,1.56,1.0,25.0
O=C(O)c1cccc(C(=O)O)c1,1.66,1.0,25.0
O=C(O)c1ccc(C(=O)O)cc1,2.0,1.0,25.0
COc1ccc(C(=O)O)c(O)c1,2.99,1.0,25.0
COc1ccc(O)c(C(=O)O)c1,2.78,1.0,25.0
NS(=O)(=O)c1nc2ccc(Cl)cc2s1,2.1,7.2,37.0
O=C(O)c1ccccc1I,2.4,2.7,15.0
