smiles,logD
Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,3.48
Brc1c(NC2=NCCN2)ccc2nccnc12,0.31
Brc1c[nH]c(=NCc2ccccc2)nc1N=c1cc(C2CC2)[nH][nH]1,4.11
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,2.51
Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,2.8
Brc1cnc2ccccc2c1,2.91
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],3.0
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59
C#CCC(C(=O)N=C(Cc1cc[nH]c1O)CCC(O)OCC)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.75
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,5.63
C#CCN(C)C(C)Cc1ccccc1,2.16
C#CCN(C)[C@H](C)Cc1ccc(F)cc1,2.7
C#CCN(C)[C@H](C)Cc1ccccc1,2.49
C#CCN(c1cc(=Nc2ccc(OCC(O)CN(C)C)cc2)[nH]cn1)c1cc(Cl)ccc1Cl,2.8
C#CCN(c1cc[nH]c(=Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,3.2
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.96
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16
C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.4
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]21C,3.42
C#Cc1cccc(N=c2[nH]c3cc(C(=O)O)ccc3c3cncnc23)c1,0.92
C#Cc1cccc(N=c2[nH]cnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35
C(#Cc1[nH]nc2ccccc12)c1ccccc1,4.31
C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,3.4
C(=C/c1nc2ccccc2n2cccc12)\c1ccccc1,4.84
C(=Cc1nn[nH]n1)c1ccccc1,-0.4
C/C=C/c1ccc2ccccc2n1,2.23
C/C=C/c1nc2cc(OC)ccc2n2cccc12,3.47
C/C=C/c1nc2ccc(OC)cc2n2cccc12,3.48
C/C=C/c1nc2ccccc2n2cccc12,3.44
C/C=C\c1nc2ccccc2n2cccc12,3.3
C1=C(c2cc3ccccc3o2)C2CCN1CC2,2.59
C1=C(c2nc3ccccc3n3cccc23)CCCC1,4.12
C1=CCC(c2cc3ccccc3o2)CNC1,1.94
C1=CCC(c2ccc3ccccc3c2)CNC1,1.64
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,3.02
C1CCC(NC2CCCCC2)CC1,-0.38
C1CCc2c(c3c(N4CCCC4)nc(N4CCCC4)nc3n2CCN2CCOCC2)C1,3.6
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4C2C3=O)O1,3.57
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.02
C=C1C=CC=C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C(C)C(OC)/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC1=O,0.7
C=C1C=CC=C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C(C)C(OC)C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC1=O,0.7
