,smiles,Energy
0,CCCCN,-4.24
1,Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,-4.38
2,CC(C)CBr,-0.03
3,ClC(Cl)C(Cl)Cl,-2.37
4,CCc1ccccc1O,-5.66
5,O=[N+]([O-])c1ccccc1,-4.12
6,Nc1cccc2ccccc12,-7.28
7,Cc1c[nH]cn1,-10.27
8,c1cc2ccc3cccc4ccc(c1)c2c34,-4.52
9,CC(C)C(=O)C(C)C,-2.74
10,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-2.16
11,OCC(F)(F)F,-4.31
12,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-8.42
13,CCC(N)=O,-9.4
14,Cc1ccncc1C,-5.22
15,CCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,-7.65
16,FC1(F)C(F)(F)C(F)(F)C1(F)F,3.43
17,Nc1ccccc1,-5.49
18,CCCCC/C=C/C=O,-3.43
19,CC[C@@H](C)C(C)C,2.52
20,CCCCCCN,-3.95
21,Cc1cccc2ccccc12,-2.44
22,CCCOC(=O)CC,-2.44
23,CC(C)Cc1ccccc1,0.16
24,OC1CCCCCC1,-5.48
25,CC(C)Cc1cnccn1,-5.04
26,Clc1ccc(Cl)c(Cl)c1Cl,-1.34
27,Cc1ccc(C(C)C)cc1,-0.68
28,O=[N+]([O-])c1cccc(O)c1,-9.62
29,COc1ccccc1N,-6.12
30,O=C1NC(=O)c2ccccc21,-9.61
31,CN1CCNCC1,-7.77
32,Nc1ccc([N+](=O)[O-])cc1,-9.82
33,CCCCC[N+](=O)[O-],-2.82
34,CC(=O)OC(C)OC(C)=O,-4.97
35,COS(=O)(=O)OC,-5.1
36,Clc1cc(Cl)cc(Cl)c1,-0.78
37,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,-11.53
38,O=c1cc(Cl)[nH]c(=O)[nH]1,-15.83
39,CCN(CC)CC,-3.22
40,Clc1ccc(Cl)cc1,-1.01
41,Oc1ccc(Br)cc1,-5.85
42,COc1c(Cl)ccc(Cl)c1C(=O)O,-9.86
43,CC(C)C[C@@H](C)O,-3.73
44,O=Cc1cccc(O)c1,-9.52
45,Nc1ccccc1Cl,-4.91
46,O=C1CCCCC1,-4.91
47,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-9.41
48,CCCC=O,-3.18
49,O=[N+]([O-])c1ccc(O)cc1,-10.64
50,CC[N+](=O)[O-],-3.71
51,CCCCCCOC(C)=O,-2.26
52,CCOc1ccccc1,-2.22
53,Oc1ccc2ccccc2c1,-8.11
54,CC1=CCCCC1,0.67
55,COC(C)C,-2.01
56,CCCCCl,-0.16
57,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,-3.81
58,CCCCOC(C)=O,-2.64
59,O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-4.23
60,ClCC(Cl)(Cl)Cl,-1.43
61,C=CC(C)C,1.83
62,CCCCOC[C@H](C)O,-5.73
63,CCCCCCBr,0.18
64,CC(C)CO[N+](=O)[O-],-1.88
65,CCCCCCCCBr,0.52
66,C1COCCO1,-5.06
67,C1COCCN1,-7.17
68,CC(=O)OCC(COC(C)=O)OC(C)=O,-8.84
69,CCOC(=O)CC(=O)OCC,-6.0
70,CC(C)c1ccccc1,-0.3
71,O=[N+]([O-])c1ccccc1O,-4.58
72,CNC(=O)O/N=C\C(C)(C)SC,-9.84
73,O=[N+]([O-])OCCCO[N+](=O)[O-],-4.8
74,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-23.62
75,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-6.74
76,Oc1ccccc1Cl,-4.55
77,C1=CCCC1,0.56
78,CCCCOCCO,-6.25
79,ClCCOCCCl,-4.23
80,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-12.64
81,CCCCCC(=O)OCC,-2.23
82,OCc1ccccc1,-6.62
83,Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,-3.84
84,Nc1ccc2ccccc2c1,-7.47
85,Cc1cc(O)ccc1Cl,-6.79
86,CCCCCCCCO,-4.09
87,CCCCCC1CCCC1,2.55
88,ClC(Cl)(Cl)Cl,0.08
89,Clc1ccccc1-c1ccccc1,-2.69
90,CCCc1ccc(O)cc1,-5.21
