,smiles,pH,logD
0,CC(=O)N=c1cc(CN2C(=O)N(c3ccc(SC(F)(F)F)cc3)C(=O)C2(C)C)cc[nH]1,7.4,2.93
1,Cc1ccc(NC(=O)c2cccc(N(C)S(C)(=O)=O)c2)cc1NC(=O)c1ccc2ncccc2c1,7.4,2.8
2,Nc1ccc(OCc2ccccc2)cc1,7.4,2.2
3,O=C(NS(=O)(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1)c1ccccc1,7.4,2.14
4,NC(=O)c1ccc(=O)n(Cc2ccc(F)c(F)c2)c1,7.4,1.37
5,COc1cc2[nH]cnc(=Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1,7.4,2.16
6,CC(=O)Nc1ccc2c(c1)c(-c1cc(=NC3CC3)n3[nH]cc(C#N)c3n1)cn2C,7.4,2.94
7,Cc1ncc(-c2cc[nH]c(=Nc3ccc(C(N)=O)cc3)n2)n1C(C)C,7.4,2.39
8,N=c1[nH]c(N)c(C(=O)N=c2cccc[nH]2)nc1Cl,7.4,2.67
9,CN(C)c1ccnc2sc(C(N)=O)c(N)c12,7.4,1.7
10,COc1cc(-c2c(F)ccc3c(=N)c(C(=O)NC4CC4)n[nH]c23)c(OC)nn1,7.4,2.75
11,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCSCCNCCc3cccc(Cl)c3Cl)c2s1,7.4,1.74
12,N=c1[nH][nH]c2cccc(Cl)c12,7.4,1.92
13,Cc1c(Oc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,7.4,-0.98
14,Cc1ccc(CO)cc1N(C)c1cc[nH]c(=Nc2cc(N3CCOCC3)nc(N3CCOCC3)n2)n1,7.4,3.9
15,Cc1ccc(C)n1N=c1ccc(N2CCC(O)CC2)n[nH]1,7.4,1.7
16,CC(C)CC(NC(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)[C@@H]([NH3+])CC(C)C)C(=O)[O-],7.0,-1.0
17,C=CCc1cc(NC(C)=O)ccc1OCCCNC(C)C,7.4,-0.01
18,CSCCC(NC(=O)C(CC(=O)O)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,7.4,1.7
19,COc1cccc([C@@H](c2ccc3c(c2)CN(CCC(=O)O)CC3)N2C[C@@H](C)N(Cc3ccccc3)C[C@@H]2C)c1,7.4,2.3
20,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)Cc1ccnc(F)c1,7.4,2.49
21,CNC(C)C(=O)NC(C(=O)N[C@H]1C[C@@H]2CC[C@H]1N(CCc1ccccc1)C2)C1CCCCC1,7.4,1.64
22,CN(C)CCCNC(=O)c1nc(Cl)c(=N)[nH]c1N,7.4,-1.0
23,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCc3[nH]c4ncccc4c3C2)CC1,7.4,2.13
24,CCOc1cc2[nH]nc(C(N)=O)c(=Nc3cccc(Cl)c3F)c2cc1N1CCN(C)CC1,7.4,1.99
25,CCN=c1[nH]c(C#N)nc(=Nc2ccccc2)[nH]1,7.4,3.11
26,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(N2CCNCC2)ccc1Cl,7.4,1.77
27,CN(C(=O)Nc1ccc2c(-c3ccncc3)c[nH]c2c1)c1ccccc1,7.4,2.93
28,NC(=O)c1c[nH]c(=N[C@H]2CCCNC2)c2cc(-c3ccc(Cl)cc3)sc12,7.4,2.78
29,CCCCCC(C)NCc1ccc(-c2ccccc2)cc1,7.4,4.2
30,COc1cc2ncnc(Oc3cnn(CC(=O)N=c4ccc(N(C)C)c[nH]4)c3)c2cc1OC,7.4,2.36
31,O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,7.4,2.17
32,CCc1c(O)c(=O)ccn1CCOC,7.4,0.04
33,Cc1cc2n[nH]c(=O)n2c2cc(-c3cccnc3)ccc12,7.4,2.72
34,N=C(N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,7.2,-2.0
35,NC(=O)c1cccc(OC2CCN(CC3CC3)CC2)c1,7.4,0.49
36,COc1cc2[nH]cnc(=Nc3ccc(F)cc3)c2cc1OC,7.4,3.1
37,O=C(Nc1ccc(F)cc1F)c1cc(Cl)ccc1O,7.4,3.6
38,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)c3cc(S(C)(=O)=O)ccc23)CC1,7.4,2.42
39,Cc1nc(=Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)[nH]1,7.4,3.41
40,CCOc1ccc(-n2c(C(C)N(CC3CCN(C)CC3)C(=O)Cc3ccc(F)c(C(F)(F)F)c3)nc3ncccc3c2=O)cc1,7.4,1.4
41,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,7.4,0.2
42,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,7.4,2.8
43,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,7.4,2.23
44,COc1cc(CCc2cc(=Nc3cc[nH]c(=NCc4ccccn4)n3)[nH][nH]2)cc(OC)c1,7.4,3.5
45,CNS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)c[nH]c(=O)c2c1,7.4,2.77
46,CN(C)CCc1c[nH]c2ccc(CN3C(C)(C)CNS3(=O)=O)cc12,7.4,-0.78
47,CCCSc1ncccc1C(=O)N(C)[C@@H]1[C@H]2CC3C[C@@H]1C[C@](O)(C3)C2,7.4,2.48
48,Cc1ccc(-c2nnc(N3CCN(C(=O)c4ccco4)CC3)c3ccccc23)cc1,7.4,3.78
49,Cc1cc(C)cc(OC(C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,7.4,2.1
50,CCc1cc(C(=O)NC(Cc2cccc(Cl)c2)C(=O)NCC#N)n(C)n1,7.4,2.6
51,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3ccc(CNCCc4c(Cl)cccc4Cl)cc3)c2s1,7.4,2.3
52,CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(=N)N3)c2)c1,7.4,3.3
53,CN(C)CCC=C1c2ccccc2COc2ccccc21,7.4,2.185
54,CCCCOc1ncc(C(C)=O)cc1-c1nc(=O)c2nn(Cc3nccn3C)c(CC)c2[nH]1,7.4,2.6
55,Clc1ccc(N=c2[nH]nc(Cc3ccncc3)c3ccccc23)cc1,7.4,3.7
56,Cc1ccc(Oc2ccc(N=c3[nH]cnc4cccc(OC(C)C(=O)N(C)CCO)c34)cc2C)cn1,7.4,3.85
57,O=C(O)C[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(Cl)ccc2[nH]1,7.4,1.79
58,O=c1cc(N2CCOCC2)nc2n(Cc3cccc(Cl)c3Cl)ccn12,7.4,3.3
59,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,7.4,2.18
60,CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,7.4,-0.66
61,COc1cccc(/C=C2\SC(=O)NC2=O)c1N1CCC[C@@H](N)C1,7.4,1.27
62,O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br,7.4,3.9
63,O=C(O)c1ccccc1Cn1nnc(-c2cccc(OCc3ccc4ccccc4n3)c2)n1,7.4,2.1
64,O=C(O)Cc1nn(Cc2nc3cc(F)cc(F)c3s2)c(=O)c2ccccc12,7.4,0.05
65,O=S(=O)(N=c1[nH]ccs1)c1ccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1,7.4,1.97
66,CC(C)CC(NC(=O)CNC(=O)C(NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]([NH3+])C(C)C)C(C)C)C(=O)[O-],7.0,-0.97
67,Cc1cccc(-c2nc(CNCCC3CCCN3C)c(C)o2)c1,7.4,3.3
68,CCN(CC)C(C)C(=O)c1ccccc1,7.4,1.18
69,CN1CCC[C@@H]1c1cccnc1,7.4,0.45
70,O=C1COC2(CCN(S(=O)(=O)c3ccc(-c4ccc5cccnc5c4)cc3)CC2)CN1C1CC1,7.4,3.24
71,CCOc1ccccc1-c1ccc(-c2[nH]c3ccncc3c(=O)c2C#N)cc1,7.4,3.0
