,smiles,pH_range,logP
0,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccc(Br)cc3)c2s1,1,3.36
1,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,0,3.4
2,CCC(C)C(NC(=O)C(N)Cc1c[nH]cn1)C(=O)NC(Cc1ccccc1)C(=O)O,2,0.44
3,CCCC(=O)NC[C@@H](C)NC(=O)CCC,0,1.43
4,CCCc1onc(C)c1N=C1CC(=O)C(=O)c2ccccc21,1,1.8
5,O=c1[nH]c(O)cn1/N=C/c1ccc([N+](=O)[O-])o1,1,-0.47
6,CCN=c1[nH]c(OC)nc(=NC(C)C)[nH]1,1,2.69
7,CC(C)NCC(O)COc1cccc2[nH]ccc12,2,1.75
8,COc1ccc(OCCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,1,3.81
9,Cc1ncsc1CCOCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12,1,1.44
10,CC(COCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12)c1ccccc1,1,2.32
11,COc1cc(OC)[nH]c(=NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,1,-0.06
12,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C([NH3+])Cc1c[nH]c2ccccc12)C(=O)[O-],1,0.36
13,CN(CCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])CCNC(=O)c1cccc2cc3ccccc3nc12,1,2.15
14,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0,3.0
15,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,0,1.77
16,O=C1C(=O)N(OCc2ccc(Br)cc2)[C@H]2CCCC[C@@H]2N1OCc1ccc(Br)cc1,1,5.49
17,O=C(CS(=O)(=O)Cc1ccccc1)Nc1ccc2c(c1)OCCO2,0,3.19
18,CSCCC(NC(=O)C(C)N)C(=O)NC(C(=O)O)C(C)C,1,-0.63
19,O=c1[nH]cc(F)c(=O)[nH]1,0,-0.89
20,CC(C)C(NC(=O)CN)C(=O)O,1,-1.33
21,CCN(CC)S(=O)(=O)c1ccc(C(=O)N2CCNC(=O)C2CC(=O)OC)cc1,0,1.14
22,C[C@H]1C[C@H](C)CN(C(=O)CSc2nnc(-c3ccccc3)n2C)C1,2,3.68
23,O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccc([N+](=O)[O-])cc3)c2s1,1,2.32
24,CC(C)CCn1c(=NCCO)[nH]c2c1c(=O)n(C)c(=O)n2C,0,5.36
25,CCOC(=O)C1=C2SC(C)C(=O)N2C(=N)C(C(=O)OCC)[C@@H]1c1ccc(Cl)cc1Cl,2,5.49
26,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0,-0.07
27,COc1ccc(C(=O)Nc2cccc(F)c2)cc1S(=O)(=O)N1CCOCC1,0,3.64
28,CCC1(CC)C(=O)NC(=O)NC1=O,1,0.65
29,CS(=O)(=O)Nc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1,1,1.34
30,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1,5.72
31,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,1,1.01
32,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,1,3.0
33,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,1,5.11
34,COc1ccc2cc(C(C)C(=O)OCC(=O)N(C)CC(N)=O)ccc2c1,1,1.37
35,O=C(COC(=O)c1ccccc1F)Nc1ccccc1,0,3.18
36,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,1,-0.8
37,CCCC(N)C(=O)O,0,-2.11
38,CC(=O)N=c1[nH]c2cc3sc(=NC(C)=O)[nH]c3cc2s1,1,3.13
39,Cc1ccc(N(CCOC(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)C2=NS(=O)(=O)c3ccccc32)cc1,0,5.58
40,COC(=O)c1ccccc1S(=O)(=O)NC(=O)N=c1nc(C)[nH]c(OC)n1,1,-1.74
41,COC(=O)CSc1nc(=NCC(C)C)nc(N2CCOCC2)[nH]1,2,3.75
42,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,1,3.14
