,smiles,logD
0,N=c1[nH]c2ccc(C(=O)c3ccccc3)cc2[nH]1,2.29
1,Cn1c(=N)n(CC(=O)c2ccc(Cl)cc2)c2ccccc21,1.63
2,Cc1occc(=O)c1OCc1ccccc1,1.87
3,O=C(NCc1ccccn1)c1ccc(Oc2ccccc2)cc1,2.7
4,O=C1Nc2ccc(S(=O)(=O)N3CCC[C@H]3COc3ccccc3)cc2C1=O,2.7
5,Cc1cc(-c2ccc(-c3[nH]c4ccncc4c(=O)c3C#N)cc2)ccn1,1.6
6,O=C1C=CC(=O)c2c(O)ccc(O)c21,1.91
7,N#Cc1ccc2ccc(=O)n(CCN3CC[C@@H](NCc4cc5c(cn4)OCCO5)[C@@H](O)C3)c2c1,0.45
8,CC(NC(=O)c1cc(=O)[nH]c2ccccc12)c1ccccc1,2.2
9,O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2,1.58
10,COc1cc2[nH]cc(C(N)=O)c(=Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,2.18
11,NC(=O)c1cc(C(N)=O)n(-c2cccc(-c3cc(C(F)(F)F)ccc3C(F)(F)F)c2)n1,3.4
12,COc1cc(O)cc2occ(-c3ccc(O)cc3)c(=O)c12,2.0
13,CCON=C(c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(Cl)cncc3Cl)CC2)CC1,4.0
14,Cc1ccccc1Cn1ccn2c(=O)cc(N3CCOCC3)nc12,2.3
15,COc1ccc(/C=C2\SC(=S)NC2=O)cc1OC,1.42
16,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-0.96
17,Clc1ccc2[nH]ccc2c1,3.28
18,NNC(=O)c1ccncc1,-0.57
19,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,1.06
20,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)NC1CCN(c3ccc(C(F)(F)F)cn3)CC1)C(=O)C2,3.84
21,FC(F)(F)c1cc(COCC(c2ccccc2)N2CCNCC2)cc(C(F)(F)F)c1,2.9
22,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,-0.96
23,C1CCc2c(c3c(N4CCCC4)nc(N4CCCC4)nc3n2CCN2CCOCC2)C1,3.6
24,CCN(CC)CC=NC(=O)c1c(C)[nH]c(Cc2c(O)[nH]c3ccc(Cl)cc23)c1C,2.75
25,CN(c1cccc(CO)c1)c1cc[nH]c(=Nc2cc(N3CCOCC3)cc(N3CCOCC3)c2)n1,2.6
26,CNC(C)C(=O)NC(C(=O)N[C@H]1CCCN(CCc2ccc(Br)cc2)C1)C(C)(C)C,2.92
27,COc1cnc(-c2ccccn2)nc1Oc1ccc(F)cc1F,3.1
28,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,2.6
29,CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(OC)c1OC,1.2
30,CCN(CC)C(=O)c1ccc(C(=C2CCN(Cc3ccc(F)cc3)CC2)c2cccc3cccnc23)cc1,3.86
31,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(-c6ccco6)cc54)CC3)nc2N1,2.19
32,O=C(O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,0.0
33,NC1=NC(c2cc3c(=O)[nH]cc(CCF)c3[nH]2)CC=N1,0.51
