,Unnamed: 0,smiles,logP,logS
0,1660,CC(C)C(Sc1nnc(C(F)(F)F)n1C)C(=O)NC(N)=O,2.12,
1,251,C=C(C)C1C=CC(C)C(=O)C1,2.71,-2.06
2,4056,CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,1.75,
3,3036,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC2(C)OC2C1C,2.19,
4,1638,CC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,2.88,
5,6897,COCCCNC(=S)Cn1cnc([N+](=O)[O-])n1,0.63,
6,9391,Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,7.44,
7,7226,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1C(=O)OC(C)C,1.72,
8,2544,CC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2N(C)C1=O,3.4,
9,9592,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1,6.63,
10,12678,O=[N+]([O-])c1ccc2[nH]cnc2c1,1.5,
11,8639,Cc1ccc(C)n1N=c1ccc(N2CCOCC2)n[nH]1,1.94,
12,769,CC(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,-0.03,
13,6187,CNC(=O)ON=C(SC)C(=O)N(C)C,-0.47,0.106
14,8401,Cc1cc(C(F)(F)F)n2nc(-c3nnc(-c4cccc(C(F)(F)F)c4)o3)cc2n1,4.92,
15,4218,CCN(C)C(=O)CCn1ccc(=O)c(O)c1C,-0.69,
16,10659,NC(CS)C(=O)O,-2.49,
17,299,C=C1c2ccccc2C2(NC)CCCCC12,3.79,
18,12728,O=[N+]([O-])c1ccccc1F,1.69,
19,3555,CCCCCCOC(=O)n1cnc(C)c1CSCCN=C(NC)NC#N,3.1,
20,3014,CCC1COC(Cn2cncn2)(c2ccc([N+](=O)[O-])cc2)O1,1.52,
21,8845,Cc1cccc(-n2c(O)ccc2O)c1,0.57,
22,13242,OCc1nonc1-c1ccccc1,1.92,
23,1405,CC(C)(C)C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0.36,
24,13913,CCCOC(=O)CC,,-0.82
25,67,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,2.97,
26,11509,O=C(Nc1ccc(Cl)c(Cl)c1)C1CC1,3.83,
27,12987,O=c1ccocc1O,-0.92,
28,13206,OC[C@@H](O)Cn1c(SCCSc2nc3ccccc3n2C[C@H](O)CO)nc2ccccc21,3.29,
29,9727,Clc1nc(Cl)c(Cl)c(Cl)c1Cl,3.53,
30,223,C1SCC2=NOS3=C2C1=NO3,1.2,
31,3726,CCCCNC(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1,3.57,
32,4154,CCCc1cc(OC)c(CC(C)N)cc1OC,3.37,
33,4880,CCOC(=O)c1cnc2cccc(C)n2c1=O,0.96,
34,6426,COC(=O)C(=Cc1ccc(C)o1)[N+](=O)[O-],2.44,
35,6467,COC(=O)C(C)c1ccc(-n2sc3ccccc3c2=O)cc1,3.46,
36,5239,CCSCCn1cnc2[nH]c(=O)n(C)c(=N)c21,-0.13,
37,11610,O=C(O)C1CCCN1,-2.54,
38,12301,O=CC=Cc1ccccc1,1.9,
39,10712,NC1C2CCC1c1ccccc1C2,1.63,
40,4519,CCNC(=S)NCC,0.57,-1.46
41,3964,CCCN(CCCC(NC(C)=O)C(=O)NCc1ccccc1)C(=O)N(C)N=O,1.61,
42,5330,CCc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,4.1,
43,403,C=CCN=c1cc(-c2nc[nH]n2)cc[nH]1,1.26,
44,4396,CCN1C(=O)C(=O)c2c(cccc2[N+](=O)[O-])C1=O,0.82,
45,7494,COc1ccc(CCNCC(O)COc2ccc(-c3nc(Cl)c[nH]3)cc2)cc1OC,2.4,
46,10793,NN=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,3.62,
47,2374,CC1=C2CC(C(=O)C1)C2(C)C,2.23,
48,10116,N#Cc1ccc(OC(=O)CNC(=O)c2ccccc2)cc1,2.11,
49,11813,O=C(O)Cc1cccc(C(F)(F)F)c1,2.62,
50,9481,Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,7.92,
51,13319,Oc1ccc(Cl)c(O)c1,1.8,
52,9073,Cc1cn(C2CC(N=[N+]=[N-])C(COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,0.83,
53,729,CC(=O)NC(C=O)C(=O)NC(C(C)C)C(N)O,-1.53,
54,12770,O=[N+]([O-])c1nccn1CCN1CCOCC1,-0.1,
55,11118,Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,1.57,
56,9568,Clc1ccc(N2CCNCC2)cc1,2.01,
57,12245,O=C1NCCN1c1ccc([N+](=O)[O-])o1,0.25,
58,12106,O=C1C=CC(=O)c2ccccc21,1.71,
59,8231,Cc1[nH]c(=O)n(OC(C)C)c(=O)c1Br,0.45,
60,1976,CC(C)Sc1nnc(C(C)C)c(=O)n1N,2.06,
61,6558,COC(=O)CS(=O)(=O)c1ccc([N+](=O)[O-])cc1,0.78,
62,5902,CN(Cc1ccc([N+](=O)[O-])cc1)N=Nc1ccc(C(=O)O)cc1,4.03,
63,13764,c1csc(-c2ccc(-c3cccs3)s2)c1,5.57,
64,7530,COc1ccc(Cl)nn1,0.89,
65,4500,CCNC(=O)c1cc(Br)cc(C)c1O,3.61,
66,6922,COCCOCC1COC(c2ccc(Cl)cc2Cl)(n2cncn2)O1,2.03,
67,2245,CC1(C)N=C(N)N=C(N)N1c1ccccc1,0.28,
68,12736,O=[N+]([O-])c1ccco1,0.66,
69,1061,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,1.92,-4.13
70,5254,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O,1.68,
71,5755,CN(C)N=Nc1cccc(C(N)=O)c1,1.3,
72,1207,CC(=O)c1ccc(Cl)cc1,2.32,
73,6009,CN1CCC=C1c1cccnc1,1.13,
74,10510,NC(=O)NS(=O)(=O)Cc1ccccc1,0.24,
75,11193,Nc1ccccc1I,2.32,
76,12884,O=c1[nH]c2c(O)ccc(CCNCCSCCCOCCc3ccccn3)c2s1,1.75,
77,4572,CCOC(=O)C(=Cc1ccc([N+](=O)[O-])o1)C(=O)OCC,2.5,
78,6535,COC(=O)CCCCC(=O)OC,1.03,
79,3165,CCCC1CC(C(=O)NC(C(C)O)C2OC(SCC)C(O)C(O)C2O)N(CC)C1,1.91,
80,3391,CCCCCCCCCCC(CC)c1ccccc1,8.65,
81,11137,Nc1ccc2c(c1)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,0.54,
82,8061,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,4.75,
83,3168,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,3.72,-3.4930000000000003
84,9598,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,7.07,
85,11648,O=C(O)CCC1=NS(=O)(=O)c2cc(Cl)cc(Cl)c2N1,1.04,
86,1812,CC(C)N(C(=O)CSc1n[nH]c(=NCc2ccccc2)s1)C(C)C,4.09,
87,6228,CNC(=O)Oc1ccc(C(C)=O)cc1,1.01,
88,8623,Cc1ccc(C)c2c(C)cccc12,4.9,
89,11344,O=C(Cc1ccccc1)NCCNCC(O)COC1CCCc2ccccc21,1.68,
90,7095,COc1c(O)c(C)c(C)c(O)c1OC,1.6,
91,6639,COC(=O)c1c(C)sc2c1OC(=N)C(C#N)[C@@H]2c1cc(Br)cs1,5.06,
92,3833,CCCCOc1ccc(C(=O)Oc2ccc3c(c2)OCO3)cc1OC,4.77,
93,5266,CCc1c(C)nc2cccc(C)n2c1=O,1.86,
94,3302,CCCCCC=CCC=CCCCCCCCC(=O)O,7.05,
95,8397,Cc1cc(C(=O)O)ccc1N,1.37,
96,6044,CN1CCc2cccc(Cl)c2CC1,2.92,
97,11455,O=C(NCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,2.85,
98,11244,O=C(CC(O)CC(O)C=Cn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1)O[Na],0.73,
99,3383,CCCCCCCCCC(CC)c1ccccc1,8.1,
100,4243,CCN(CC)C(=O)Cc1ccccc1,2.4,
101,1456,CC(C)(C)NC(=O)NN,-0.81,
102,5194,CCOc1ncccn1,0.74,
103,1383,CC(C)(C)C(COc1ccccc1)OC(=O)n1ccnc1,3.58,
104,11621,O=C(O)C1c2ccccc2Cc2ccccc21,2.78,
105,5672,CN(C)C=CC#N,0.47,
106,2405,CC1=NN(C(=O)c2ccccc2Cl)[C@](O)(c2ccc(Cl)cc2)C1,3.73,
107,13570,c1ccc(CNc2ccccc2)cc1,3.13,
108,9853,Cn1ncc2c([N+](=O)[O-])cc([N+](=O)[O-])cc21,1.63,
109,2938,CCC(O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.27,
110,4546,CCNc1ccc(C(=O)OCCN(C)C)cc1,2.62,
111,1153,CC(=O)Oc1cccc(F)c1,1.74,
112,11127,Nc1ccc(Sc2ccc(N)cc2)cc1,2.18,
113,3952,CCCN(CCC)CC(=O)OCn1ncc2c(=O)[nH]cnc21,1.27,
114,13229,OCc1cccc2ccccc12,2.37,
115,3851,CCCCOc1ccccc1NC(=O)OC1CCCCC1CN(C)C,5.01,
116,9973,N#CC(Br)(Br)C(N)=O,0.82,
117,12180,O=C1CCC(c2ccccc2)(C2CCN(Cc3ccccc3)CC2)C(=O)N1,3.55,
118,6249,CNC(=O)Oc1cccc(C#N)c1,0.97,
119,13405,S=C1CCCCN1,0.13,
120,1386,CC(C)(C)C(N)Cc1ccccc1,2.91,
121,12492,O=S1(=O)N=C(C2=CCCC2)Nc2ccccc21,1.69,
122,7561,COc1ccc(NC(=O)N=C(N)N)cc1,0.56,
123,8551,Cc1ccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)c(C)c1,4.1,
124,9348,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl,5.78,
125,8548,Cc1ccc(-c2ccccc2Cl)c(Cl)c1,5.0,
126,10619,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,-1.85,
127,9336,ClC=C1C2CC(C(Cl)C2(Cl)Cl)C1(CCl)CCl,5.2,
128,12974,O=c1cccccc1O,0.53,
129,6696,COC(=O)c1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,2.13,
130,680,CC(=O)N=c1[nH]onc1C,0.17,
131,7861,COc1ccccc1CO,1.13,
132,9744,Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,-0.57,
133,7111,COc1c(OC)c(OC(C)=O)c2cc(C#N)ccc2c1OC(C)=O,2.28,
134,5609,CN(C)C(=O)c1cccc(Oc2ccccc2)c1,2.57,
135,580,CC(=O)C=CC1=C(C)CCCC1(C)C,3.85,
136,9937,Fc1cccc(Cl)c1NC1=NCCN1,1.45,
137,4514,CCNC(=O)c1ccco1,0.61,
138,13895,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,,-6.523
139,11861,O=C(O)c1cc(I)cc(I)c1O,4.56,
140,553,CC(=O)C(C(=O)ON=C(C)C12CC3CC(CC(C3)C1)C2)c1ccccc1,4.64,
141,6150,CNC(=O)NC(=O)C(C)(C(=O)OC)C1C=CCCC1,1.75,
142,7323,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,0.48,
143,2668,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,3.13,
144,6006,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,3.11,
145,8709,Cc1ccc(NC(=O)CSc2nnc(Cc3ccccc3)o2)cc1Cl,4.85,
146,1595,CC(C)C(=O)NCCNCC(O)COCCCc1ccccc1,1.25,
147,8889,Cc1cccc(C)c1NC(=O)CSc1nnnn1-c1ccc(OC(F)(F)F)cc1,4.82,
148,411,C=CCNC(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1,0.68,
149,7188,COc1cc(C=O)cc(OC)c1OC,1.39,
