,smiles,logP,logD
0,Oc1ccc(C(c2ccncc2)c2ccc(O)cc2)cc1,3.24,
1,CCCC(=O)OC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1ccccc1,1.89,
2,Cc1ccc(C(C)C)c(OCCN(C)C)c1,3.79,
3,CCc1c(C)ssc1=S,2.94,
4,O=c1[nH]c2c(O)ccc(CCNCCCNS(=O)(=O)CCOCCc3ccccc3)c2s1,1.22,
5,NC(=O)c1ccccc1NCCCO,0.7,
6,CC(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1,2.78,
7,COc1ccnc(C#N)n1,0.86,
8,Cc1nc(C#Cc2ccncc2)cs1,2.1,
9,Cc1ccc2ccccc2n1,2.59,
10,O=C(O)COc1cccc(C(=O)O)c1,1.11,
11,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,5.2,
12,CCCCSP(=O)(SCCCC)SCCCC,5.7,
13,Clc1cccc(N2CCNCC2)c1,2.11,
14,CC(C)=CCCC(C)CCO,3.91,
15,Cc1cc(C(=O)O)ccc1N,1.37,
16,O=[N+]([O-])CCc1ccccc1,2.08,
17,CNC(=O)Oc1cc(C)c(SC)c(C)c1,2.92,
18,c1ccc(NC2=NCCN2)cc1,1.01,
19,Cc1cc(C)c(C#[N+][O-])c(C)c1,3.21,
20,N=c1[nH]c(Cl)nc2c1ncn2C1CC(O)C(CO)O1,0.02,
21,CC1CC2=NOS3=C2C(=NO3)C1,1.5,
22,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(CO)=CC21,7.83,
23,C=CCn1c(SCC(=O)NCc2ccc(C(=O)OCC)cc2)nc2sc(C)c(C)c2c1=O,4.83,
24,CCCNP(=O)(OC)SC,0.65,
25,O=NN(CCCl)C(O)Nc1ccc(=O)[nH]c1O,0.37,
26,N=c1[nH]c(=O)c2[nH]nnc2[nH]1,-0.71,
27,Oc1ccc(O)n1-c1ccccc1,0.06,
28,COC(=O)c1ccc(NC(C)=O)cc1,1.79,
29,CCCCc1ccc(CC(=O)O)cc1,3.25,
30,CCN(CCO)c1ccccc1,2.1,
31,COC(=O)C=COc1ccccc1Cl,3.02,
32,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,1.7,
33,Cc1ccc(NN=C(C#N)C#N)cc1,3.2,
34,Cc1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C)c(C)c5)c(=O)c4cc3c2=O)cc1C,4.83,
35,COc1nnc(C(C)C)c(=O)n1N,-0.06,
36,CCNC(=O)c1cccn1C,1.09,
37,C#CCNC(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1,-0.31,
38,NNC(=O)c1ccc(N)cc1,-0.75,
39,COC(=O)CS(=O)(=O)c1ccccc1,0.93,
40,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,5.41,
41,O=c1cn[nH]c2ccccc12,0.82,
42,CNC(=O)Oc1cccc(C)c1C,1.95,
43,CCC(=O)C1(c2cccc(OC(=O)OCC(C)C)c2)CCN(C)CC1,2.38,
44,CC(C)(C)C(=O)C(C#N)=NNc1ccc(Cl)cc1C(F)(F)F,5.67,
45,CCCCCOCc1cccc(NC(=O)OCCN2CCCCC2)c1,4.2,
46,CC1CCCC(C)N1,1.53,
47,COCc1ccc(O)c2ncccc12,1.78,
48,N#CC(C#N)=Cc1ccc(I)o1,2.42,
49,O=C1NC(=O)C(Cc2ccccc2)(Cc2ccccc2)N1,2.46,
50,CCOC(=O)CCCO,0.43,
51,Cc1ccccc1N1C(=O)c2ccc(C(=O)OCC(=O)c3c(N)n(C)c(=O)n(C)c3=O)cc2C1=O,4.55,
52,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)ccc1C(C)C,3.14,
