,Unnamed: 0,smiles,logP,logD
0,10338,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,2.02,
1,5934,CN1C=CCC(C(=O)OC2CCC(NC(=O)N(CCCl)N=O)CC2)=C1,2.53,
2,3725,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,4.5,
3,14394,CCN(C)C(=O)c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1,,2.65
4,6483,COC(=O)CCCc1ccccc1,2.77,
5,16897,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1c(Cl)ccc2nc(CN3CCN(CCO)CC3)ccc12,,2.93
6,9007,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,-0.5,
7,4027,CCCOC1OC(CO)C(O)C(O)C1O,-1.66,
8,8484,Cc1ccc(-n2c(O)ccc2O)cc1,0.58,
9,3138,CCCC=CCc1ccc(O)c(O)c1,3.82,
10,11773,O=C(O)c1cc(Cl)ccc1O,3.09,
11,1845,CC(C)NC(C)C,1.4,
12,12172,O=C1OC(Cc2ccccc2)c2ccccc21,3.12,
13,12972,OC(c1ccccc1)c1ccccc1,2.67,
14,2238,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O,3.77,
15,15604,CS(=O)(=O)c1ccc(C(CC2CCCC2)C(=O)N=c2cnc(C(O)CO)c[nH]2)cc1Cl,,2.58
16,9717,Cn1c([N+](=O)[O-])cnc1COc1ccc(Cl)cc1,1.8,
17,10798,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(F)(F)F)NS2(=O)=O,0.49,
18,6885,COCN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,3.23,
19,11499,O=C(O)C(CO)c1ccccc1,0.77,
20,14084,CC(NCC(O)c1ccc([N+](=O)[O-])cc1)C12CC3CC(CC(C3)C1)C2,,3.53
