,smiles,logP
0,CC=CC(=O)Nc1ccc(Cl)c(Cl)c1,3.63
1,COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C,3.4
2,O=C(NCCO)C(F)(F)Cn1cnc([N+](=O)[O-])n1,-0.77
3,NS(=O)(=O)c1ccc(SCCCCO)c(F)c1,1.28
4,CC=NC(=O)NC(=O)C(C#N)NOC,0.59
5,Cc1ncc([N+](=O)[O-])n1CCOC(=O)N(C)C,0.47
6,COC(=O)c1ccncn1,-0.27
7,CSCCC(NC(=O)C(N)Cc1ccccc1)C(=O)O,-1.59
8,Cc1ccc(OCC(OC(=O)n2ccnc2)C(C)(C)C)cc1,4.06
9,CC1COCCN1N=O,-0.03
10,N=C1CCN(c2cccc(C(F)(F)F)c2)N1,2.56
11,CC(=O)Oc1cccc(F)c1,1.74
12,CCC(CC)NC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1,3.6
13,C#CCC(O)(c1ccc(F)cc1)c1cccnc1,1.78
14,CCCCCCBr,3.8
15,C=CC1CC=CCC1,3.93
16,NCCCCCc1cccnc1,1.41
17,Cc1cc2c(c(=O)o1)[C@@H](c1cccc(F)c1F)C(C#N)C(=N)O2,3.1
18,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,3.58
19,N#CC(=Cc1ccccc1)C(N)=O,1.56
20,CC(=O)OC=C1CSC2C(NC(=O)CSc3ccncc3)C(=O)N2C1C(=O)OCOC(=O)C(C)(C)C,1.63
21,CC(C)(C)C#N,1.08
22,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)C(O)C(N=[N+]=[N-])C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,1.79
23,CCS(=O)c1sc(C#N)c(C)c1C(C)=O,2.22
24,N=c1ccn2c(n1)OC1C(O)C(CO)OC12,-2.37
25,CC(=O)NNC(=O)Nc1ccc(C(C)(C)C)cc1,2.08
26,O=c1[nH]ncc2ccccc12,0.75
27,CCOC(=O)c1cnc2c(C)cccn2c1=O,0.87
28,CC(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)NC(C(N)=O)C(C)C,0.51
29,CC(C)c1csc(-c2ccc(C(C)C(=O)O)cc2Cl)n1,4.78
30,CCOc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,1.34
31,Cc1ccc2ccccc2c1C,4.31
32,OCc1ccc(C(O)(Cn2ccnc2)c2ccc(-c3ccncc3)cc2)cc1,2.4
33,CC(=O)OC=C1CSC2C(NC(=O)CSc3cc(Cl)ccc3Cl)C(=O)N2C1C(=O)O,1.66
34,CC(=O)NNC(=O)Nc1ccc(Oc2ccccc2)cc1,2.01
35,COP(=O)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,1.69
36,COC(=O)C(=Cc1ccc(C)o1)[N+](=O)[O-],2.44
37,CCOC1OC(CO)C(O)C(O)C1O,-2.28
38,CCC(C)NC(=O)C=C(Br)c1ccc(Cl)cc1,3.9
39,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,2.18
40,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],3.73
41,CCCCN(CCCC)C(=O)COC(=O)c1ccccc1,3.91
42,CCC(C)[N+](=O)[O-],1.2
43,CCC1(C2=CCCCC2)C(=O)NC(=O)N(C)C1=O,2.25
44,Fc1cncc(F)n1,0.74
45,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(N)CCSC)C(C)CC)C(=O)O,-0.49
46,NS(=O)(=O)CCCOc1ccc([N+](=O)[O-])cc1,0.97
47,CC(=O)Oc1ccc(N)cc1,0.45
48,CNC(=O)c1ccoc1,0.34
49,CC(=O)c1ccccc1Cl,2.09
50,CCOP(=S)(OCC)Oc1ccc(S(C)(=O)=O)cc1,2.56
51,CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCCN1CCOCC1)C(C)C,4.5
52,CC(C)(C)C(COc1ccc(F)cc1)OC(=O)n1ccnc1,3.68
53,O=C(O)COc1ccc(Oc2ccc(Cl)cc2Cl)cc1,4.51
54,Ic1cn[nH]c1,1.7
55,N#CCc1cccc(Oc2ccccc2)c1,3.03
56,O=c1[nH]c2c(O)ccc(CCNCCNS(=O)(=O)CCOCCc3ccccc3)c2s1,1.56
57,CC(=O)N=c1[nH]c(NCC(O)CO)c(Cl)nc1[N+](=O)[O-],0.0
58,CCO[PH](=O)(=O)Cc1ccc(Cl)cc1,1.6
59,O=C1C=NC(c2ccccc2Cl)c2cc(Br)ccc2N1,3.3
60,O=[N+]([O-])c1cccc(OC2OC(CO)C(O)C(O)C2O)c1,-0.51
61,O=C(O)C=Cc1ccc([N+](=O)[O-])cc1,2.12
62,CC(C)NC(=O)COc1ccc(OCCNCC(O)COc2ccccc2)cc1,2.4
63,CCN(CC)C(=O)SCc1ccc(Cl)cc1,3.4
64,CNC(=S)NCCCCc1[nH]cnc1C,0.85
65,CON(C)C(=O)Nc1ccc(C2CCCCC2)cc1,4.08
66,Cc1ncc(CO)c(CO)c1O,-0.77
67,O=c1cc(-c2ccc(O)c(O)c2)oc2cccc(O)c12,3.31
68,CC=C(C)C(=O)Nc1ccc(Cl)cc1Cl,3.49
69,CC(C)(C)C(COc1ccc([N+](=O)[O-])cc1)OC(=O)n1ccnc1,3.35
70,N#Cc1[nH]n(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(=N)c1S(=O)C(F)(F)F,4.0
71,CC(=O)C=Cc1ccc(C#N)cc1,1.64
72,CC1=CCC2C(C1=O)C2(C)C,2.42
73,Cc1cc(C(=O)NN)ccn1,-0.37
74,CSC(C)=NOC(=O)N(C)SN(C(=O)c1ccc(C)cc1)C(C)C,3.4
75,NC(=O)CCCCOC(=O)c1ccccc1,1.39
76,CNC1C2CCC1c1ccccc12,2.37
77,COc1cc(/C=C/C(=O)Nc2ccc(N3CCCCC3)cc2)ccc1OC(F)F,5.36
78,CON(C)C(=O)Nc1cccc([N+](=O)[O-])c1,1.64
79,Cc1cccc(OCC(O)CNC(C)C)c1,1.93
80,CC(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)NC(C)(C)C,1.01
81,Nc1ccc(S(=O)(=O)N=c2[nH]cc(Br)cc2Br)cc1,2.74
82,Clc1cc(Cl)c2oc3cc(Cl)c(Cl)cc3c2c1,6.73
83,CC1(C)C=C2OC(=N)C(C#N)[C@@H](c3ccc(C(F)(F)F)cc3)C2C(=O)C1,4.55
84,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-0.78
85,O=C(c1ccc(Cl)cc1)N(Cc1ccc(Cl)c(Cl)c1)n1c(O)c2c(c1O)CCCC2,5.51
86,NC(=O)c1ccco1,-0.11
87,CC(C)(C)O,0.35
88,CCCCN=C(N)N=C(N)N,-1.2
89,CC(=O)n1cc(O)n(CC(=O)N(Cc2ccccc2)c2nc(-c3ccccc3)cs2)c1=S,4.43
90,CC(=O)Nc1cccc(OCC(O)CNC(C)C)c1,0.74
91,CCCC(=NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(COC(F)(F)C(=O)NCCN1CCOCC1)CC1CCCCC1,3.17
92,CCCOn1c(=O)[nH]c(C)c(Br)c1=O,0.76
93,CN=C(NCCSCc1[nH]cnc1C)N[N+](=O)[O-],0.18
94,COc1ccc(OCC2CN=C(N)O2)cc1,1.26
95,COc1ccccc1[C@@H]1CC(=O)Nc2cc(C)c(C)cc21,4.17
96,O=C(Oc1ccccc1)c1ccccc1,3.59
97,CC(=O)NC(CC(C)C)C(=O)NC(CCCN)C(=O)NC(Cc1ccccc1)C(N)=O,0.53
98,O=C(c1ccc([N+](=O)[O-])cc1)N(NC(=S)Nc1ccccc1)c1ccccc1,3.87
