,smiles,pH,logD
0,Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,7.4,3.48
1,Brc1c(NC2=NCCN2)ccc2nccnc12,7.4,0.31
2,Brc1c[nH]c(=NCc2ccccc2)nc1N=c1cc(C2CC2)[nH][nH]1,7.4,4.11
3,Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,7.4,2.51
4,Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,7.4,2.8
5,Brc1cnc2ccccc2c1,7.4,2.91
6,C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],7.4,3.0
7,C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4,3.59
8,C#CCC(C(=O)N=C(Cc1cc[nH]c1O)CCC(O)OCC)n1cccc(NC(=O)c2cc(C)on2)c1=O,7.4,1.75
9,C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,7.4,5.63
10,C#CCN(C)C(C)Cc1ccccc1,7.4,2.16
11,C#CCN(C)[C@H](C)Cc1ccc(F)cc1,7.4,2.7
12,C#CCN(C)[C@H](C)Cc1ccccc1,7.4,2.49
13,C#CCN(c1cc(=Nc2ccc(OCC(O)CN(C)C)cc2)[nH]cn1)c1cc(Cl)ccc1Cl,7.4,2.8
14,C#CCN(c1cc[nH]c(=Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,7.4,3.2
15,C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4,3.96
16,C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4,3.16
17,C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4,3.4
18,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]21C,7.4,3.42
19,C#Cc1cccc(N=c2[nH]c3cc(C(=O)O)ccc3c3cncnc23)c1,7.4,0.92
20,C#Cc1cccc(N=c2[nH]cnc3cc(OCCOC)c(OCCOC)cc23)c1,7.4,3.35
