,Unnamed: 0,smiles,logP,logS
0,0,BrC(Br)(Br)Br,3.42,-3.14
1,1,BrC1C2CC3C(C2)C13,3.11,
2,2,BrC1CC2CCC1C2,3.54,
3,3,BrC1CCCCC1,3.2,
4,4,BrC=C(Br)Br,3.2,
5,5,BrCC(CBr)(CBr)CBr,3.99,
6,6,BrCC1CO1,0.85,
7,7,BrCCCBr,2.37,
8,8,BrCCCCCCCCCCBr,6.12,
9,9,BrCCCc1ccccc1,3.72,
10,10,BrCCc1ccccc1,3.09,
11,11,BrCc1ccccc1,2.92,
12,12,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,6.07,
13,13,Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,6.39,
14,14,Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,5.5,
15,15,Brc1cc(Br)c(Br)cc1Br,5.13,-6.98
16,16,Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,2.75,
17,17,Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,8.71,
18,18,Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,7.4,
19,19,Brc1cc(Br)cc(Br)c1,4.51,-5.6
20,20,Brc1cc2ccccc2nn1,1.72,
21,21,Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,6.1,
22,22,Brc1ccc(-c2cc3ccccn3c2)cc1,5.43,
23,23,Brc1ccc(-c2ccc(Br)cc2)cc1,5.72,
24,24,Brc1ccc(-c2ccccc2)cc1,4.96,
25,25,Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,7.1,
26,26,Brc1ccc(Br)cc1,3.79,-4.07
27,27,Brc1ccc(NC2=NCCN2)cc1,1.75,
28,28,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,6.84,
29,29,Brc1ccc2cccnc2c1,2.92,
30,30,Brc1ccc2ncccc2c1,2.83,
31,31,Brc1cccc(-c2c[nH]c(SCCc3c[nH]cn3)n2)c1,3.76,
32,32,Brc1cccc(-c2cc3ccccn3c2)c1,5.31,
33,33,Brc1cccc(-c2ccccc2)c1,4.85,
34,34,Brc1cccc(Br)c1,3.75,-3.54
35,35,Brc1cccc(Br)c1NC1=NCCN1,1.96,
36,36,Brc1cccc(NC2=NCCN2)c1Br,2.16,
37,37,Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1,6.05,
38,38,Brc1ccccc1,2.99,-2.55
39,39,Brc1ccccc1-c1ccccc1,4.59,
40,40,Brc1ccccc1Br,3.64,-3.5
41,41,Brc1ccccn1,1.42,
42,42,Brc1cccnc1,1.6,
43,43,Brc1cccs1,2.75,
44,44,Brc1ccncc1,1.54,
45,45,Brc1ccoc1,2.18,
46,46,Brc1ccsc1,2.62,
47,47,Brc1ccsc1Br,3.53,
48,48,Brc1cnc2ccccc2c1,3.03,
49,49,Brc1cnccn1,0.93,
50,50,Brc1cncnc1,0.72,
51,51,Brc1nc(Br)c(Br)[nH]1,1.96,
52,52,Brc1ncccn1,0.5,
53,53,C#CC(C)(C)N(C)C(C)C,2.29,
54,54,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.43,
55,55,C#CC(C)(C)O,0.28,
56,56,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,3.0,-3.9
57,57,C#CC(C)OC(=O)Nc1ccc(OCC)c(OCC)c1,2.68,
