,smiles,logS
0,CC(C)C(C)C(C)C,-4.8
1,CCCCCCc1ccccc1,-5.21
2,Oc1cccc(Cl)c1Cl,-1.3
3,C=CC(=O)OC,-0.22
4,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1,-4.53
5,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.278
6,CCCCCCCC(=O)OCC,-3.39
7,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.7080000000000002
8,CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,-4.42
9,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,-4.925
10,Fc1ccccc1,-1.8
11,CCCCCCC(C)O,-2.09
12,CCCCC(CC)CO,-2.11
13,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,-3.6039999999999996
14,CC(O)C(C)(C)C,-0.62
15,CC(C)OC(C)C,-1.1
16,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77
17,O=c1cccc[nH]1,1.02
18,CC1CCCO1,0.11
19,C/C=C\CC,-2.54
20,Cc1cccc2ccccc12,-3.7
21,CC(C)CBr,-2.43
22,CCCCCCCCCCCCCCCO,-6.35
23,O=[N+]([O-])c1cccc2ccccc12,-3.54
24,CCCC(C)=O,-0.19
25,CCC1(C)C(=O)NC(=O)NC1=O,-1.228
26,OC1COC(O)C(O)C1O,0.39
27,CCCCCCBr,-3.81
28,CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O,-5.41
29,Cc1cccc(N)c1,-0.85
30,CCCCCCC(C)=O,-2.05
31,CC1CCC(C(C)C)C(O)C1,-2.53
32,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73
33,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
34,CC(=O)OC1(C)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,-5.284
35,CC(C)COC=O,-1.01
36,CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,-4.55
37,CCN=c1nc(Cl)[nH]c(N(CC)CC)n1,-4.06
38,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016
39,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.0969999999999995
40,C=CCCCCCC,-4.44
41,Cc1c[nH]c(=O)[nH]c1=O,-1.506
42,Clc1ccccc1,-2.38
43,CNC(=O)Oc1ccccc1C(C)C,-2.863
44,CC(C)CCOC=O,-1.52
45,Cc1cc(C)c(O)c(C)c1,-2.05
