,smiles,logP,logD
0,N#Cc1ccccc1C(N)=O,0.0,
1,COc1ncc[nH]c1=NS(=O)(=O)c1ccc(N)cc1,0.7,-0.65
2,CC(O)=NO,-1.59,
3,O=C(O)CCCCN1C(=O)C=CC1=O,0.6,
4,N=C(NCC#CCC(NC(=O)C(Cc1ccc2ccccc2c1)Cc1cccc2ccccc12)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1)N[N+](=O)[O-],4.73,
5,CCCc1ccc(NC(C)=O)cc1,2.75,
6,CC(=O)C(C)(C)C,1.2,
7,CN(C)C(=O)Nc1cccc(N)c1,-0.1,
8,CNC(=O)c1cccnc1,0.0,
9,c1ccc2c(c1)ccc1nccnc12,2.51,
10,ClCC(Cl)CCl,2.27,
11,O=C(Nc1ccc2nn(C3CCCC3)nc2c1)c1ccccc1,3.85,
12,N=C1NCC(COc2ccccc2)O1,1.27,
13,COc1ccc(OCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,3.7,
14,CS(=O)c1ccc([N+](=O)[O-])s1,1.4,
15,CCCC1C(=O)C[C@H](C(C)C)C(C#N)(C#N)C1(C#N)C#N,3.3,
16,CSc1ncccc1C(=O)OCC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O,3.63,
17,Clc1cc2c(Cl)ccc(Cl)c2c(Cl)c1Cl,6.8,
18,CC(=NNC(=S)NNC(=S)Nc1ccccc1Cl)c1ccccn1,2.67,
19,N#CCc1ccc([N+](=O)[O-])cc1,1.37,
20,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,4.9,
21,c1ccc2c(c1)oc1ccccc12,4.12,
22,NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,0.99,
23,S=c1cc[nH]cc1,0.2,
24,Cc1c(Cl)cc(C(C)C)c(Cl)c1Cl,6.2,
25,O=[N+]([O-])c1cc(Cl)c(N=c2[nH]cc(C(F)(F)F)cc2Cl)c([N+](=O)[O-])c1,3.74,
26,CCCCNC(=S)NCCCC,2.75,
27,C(=N/n1cnnc1)\c1ccc(-n2nc(-c3ccccc3)cc2-c2ccccc2)cc1,5.58,
28,O=C(O)COc1ccc(Cl)cc1,2.25,
29,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,0.16,
30,O=NN1CCCN(N=O)CC1,-0.51,
31,O=C(OCn1ncc2c(=O)[nH]cnc21)c1cccc(CN2CCOCC2)c1,1.13,
32,CC(=O)Nc1c(C(C)C)cccc1C(C)C,2.41,
33,CCCCCCCC(=O)O,3.05,
34,C=CC12COC(=O)C(=C)C1C1OC(=O)C(=C)C1C(OC(=O)C(=C)C)C2,1.56,
35,CCC(=O)OC1(C(=O)CBr)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(=O)CC21C,3.55,
36,O=[N+]([O-])c1nccn1CCC(O)CO,-0.9,
37,CCCn1ccc(=O)c(O)c1C,0.18,
38,CC(=O)c1ccc([N+](=O)[O-])cc1,1.53,
39,COc1ccc(-c2cc(C#N)c(Cl)nc2C)cc1,3.38,
40,CCCCN(C)C,1.7,
41,CCNC12c3ccccc3CC1CCCC2C,3.8,
42,CC1CCCCN1N=O,0.71,
43,COCCCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,2.82,
44,O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3cccc(Cl)c3)c2s1,1.92,1.92
45,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.23,3.08
46,C=CCNCC=C,1.11,
47,COCc1cc(OC(=O)N(C)C)nc(SCC(=O)C(C)(C)C)n1,3.33,
48,CCCC(=O)OCn1cc(F)c(=O)[nH]c1=O,0.47,
49,Cc1cccc(C)c1OCC(C)N,2.15,0.62
50,COc1cccc(/C=C/C(=O)OCC(=O)c2cc(C)n(-c3cc(C)on3)c2C)c1,5.2,
51,CCCOc1cccc(NC(=O)OCCN2CCCCC2)c1,4.06,
52,Cn1nc2ccc(NC(=O)CCl)cc2n1,1.22,
53,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,0.81,
54,CN(C)C(=O)Cc1ccsc1,0.65,
55,CCOc1cncc(Cl)n1,2.22,
56,Clc1cc2c(cc1Cl)=c1cc(Cl)c(Cl)cc1=2,6.14,
57,CC(=O)Nc1cc(O)n(-c2ccccc2)c1O,-0.33,
58,Cc1cccc(N(C)C)c1,2.8,
59,CC(=O)Oc1ccccc1C(=O)O,1.1,
60,CN(C)c1ccc2c(c1O)C(=O)C1C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3CC1C2,-0.07,
61,CSc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0.09,
62,Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1,6.05,
63,O=C(CN1CCCCC1)Nc1cccc(I)c1,3.92,
64,Fc1cccc(Br)c1,2.92,
65,c1ccc(-c2ccncn2)cc1,1.92,
66,Cc1ccc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)cc1,2.99,
67,CCc1cc(S(=O)(=O)O[Na])c2ccccc(OC)c1-2,-0.98,
68,Cc1cc(C)cc(NS(=O)(=O)c2ccc(N)cc2)c1,2.52,
69,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,6.09,
70,CCOC(OCC)OCC,1.2,
71,CCCOCCC,2.03,
72,CN(C)C(=O)CCOC(=O)c1ccccc1,1.28,
73,O=C(O)c1ccccc1Nc1cccc(Cl)c1,5.43,
74,O=C1C=NC(c2ccccc2)c2ccc(C(F)(F)F)cc2N1,3.18,
75,COc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,1.6,
76,CC(=O)OCC1CCC(n2cnc3c(=O)[nH]cnc32)O1,-0.9,
