,Unnamed: 0,smiles,logP,Energy
0,2730,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,4.47,
1,11100,Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,0.35,
2,8605,Cc1ccc(C)[nH]1,1.47,
3,3795,CCCCOC(=O)n1cnc(CC(NC(=O)c2ccc(O)[nH]2)C(O)N2CCCC2C(N)=O)c1,-0.47,
4,4951,CCOCCn1ccnc1[N+](=O)[O-],0.53,
5,424,C=CCOCC(O)Cn1ccnc1[N+](=O)[O-],0.4,
6,10960,NS(=O)(=O)c1ccccc1,0.31,
7,7460,COc1ccc(C=C(C(C)=O)C(C)=O)cc1,1.73,
8,1638,CC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,2.88,
9,8771,Cc1ccc(S(=O)(=O)Nc2ccc3nn(C4CCCC4)nc3c2)cc1,3.91,
10,7154,COc1cc(C(=O)c2ccc(F)cc2)cc(C(=O)c2ccc(F)cc2)c1,4.89,
11,4987,CCOP(=O)(OCC)SCS(=O)(=O)C(C)(C)C,2.76,
12,4613,CCOC(=O)C(C(=O)OCC)=C1SCCS1,2.45,
13,12330,O=Cc1ccc(O)c(Br)c1,1.83,
14,4661,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,3.69,
15,7879,COc1ccccc1N1CCN(CCNC(=O)c2ccc[nH]2)CC1,1.6,
16,3212,CCCCC(C)=O,1.38,-3.28
17,4205,CCCn1ccc(=O)c(O)c1CC,0.7,
18,10594,NC(=O)c1ccccc1NC(=O)C(Cl)Cl,1.68,
19,8162,CSc1ncccc1C(=O)OCC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O,3.63,
20,12774,O=[N+]([O-])c1nccn1COC(CO)C(O)CO,-1.47,
21,12537,O=[N+]([O-])CC1=NCCCN1Cc1ccc(Cl)nc1,-0.62,
22,13772,c1ncncn1,-0.73,
23,5096,CCOc1ccc(C[C@H]2c3cc(OCC)c(OCC)cc3CCN2C(=O)c2scnc2C)cc1OCC,4.98,
24,3726,CCCCNC(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1,3.57,
25,6717,COC(=O)c1ccccc1C(=O)OC,1.56,
26,12895,O=c1[nH]cc(Br)c(=O)[nH]1,-0.21,-18.17
27,3564,CCCCCCOc1ccc(N)cc1,3.64,
28,7556,COc1ccc(NC(=O)C=Cc2ccc(O)c(O)c2)cc1OC,2.3,
29,4321,CCN(CC)CCNC(=O)c1ccc(N)cc1OC,1.4,
30,12799,O=c1[nH]c(=O)n(-c2ccccc2)o1,1.74,
31,8754,Cc1ccc(S(=O)(=O)CC(=O)c2ccc(Cl)cc2)cc1,3.43,
32,11006,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.89,
33,10725,NCC(=O)NC(Cc1ccccc1)C(=O)[O-],-0.56,
34,1507,CC(C)(C)c1ccc(C(N)=O)cc1,2.51,
35,4671,CCOC(=O)C1=C(C)N=C2C[C@@H](c3ccc(OC)c(OC)c3)CC(=O)C2[C@H]1c1ccccc1OC,3.79,
36,13715,c1ccc2nc3ccccc3cc2c1,3.4,
37,12680,O=[N+]([O-])c1ccc2[nH]nnc2c1,1.95,
38,9219,Cc1nn(C)cc1-c1cc(C(F)(F)F)n2nc(C(=O)N3C[C@H](C)O[C@H](C)C3)cc2n1,4.11,
39,11166,Nc1cccc(S(N)(=O)=O)c1,-0.38,
40,13914,CCCC1CCCC1,,2.13
41,11721,O=C(O)CNC(=O)c1ccccc1O,0.95,
42,12725,O=[N+]([O-])c1ccccc1C(F)(F)F,2.58,
43,8731,Cc1ccc(O)c(N)c1,1.16,
44,1266,CC(=O)c1ccccc1NCCO,1.59,
45,8355,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,0.89,
46,2256,CC1(C)Oc2c(O)cccc2C1=O,1.87,
47,9187,Cc1ncc([N+](=O)[O-])n1CC(C)O,0.22,
48,13367,Oc1cccc(-c2ccccc2O)c1,4.06,
49,5871,CN(CC(N)=O)C(=O)COC(=O)c1ccccc1,0.08,
50,11714,O=C(O)CN1C(=O)C=CC1=O,-0.14,
51,13204,OCCn1nc2ccccc2n1,0.92,
52,11246,O=C(CC=Nc1cccc(C(F)(F)F)c1)c1ccc(Br)cc1,5.65,
53,6275,CNC(=O)Oc1ccccc1C1OCCO1,0.67,
54,12882,O=c1[nH]c2c(O)ccc(CCNCCSCCCOCCc3ccc([N+](=O)[O-])cc3)c2s1,3.29,
55,10622,NC(=S)N1CCCCC1,0.73,
56,12363,O=NN(CCCl)C(=O)NC1(C(=O)O)CCCC1,2.01,
57,10496,NC(=O)N=c1cnc2ccccc2[nH]1,1.3,
58,6065,CN=C1CC(=O)c2ccccc2C1=O,1.74,
59,10508,NC(=O)NNC(=O)c1ccccc1,-0.5,
60,12942,O=c1cc(-c2ccccc2)o[nH]1,2.55,
61,1120,CC(=O)OCn1c(O)c2c(c1O)CCC=C2,1.15,
62,7682,COc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,0.69,
63,9924,Fc1ccc(Cl)c(NC2=NCCN2)c1,1.52,
64,1214,CC(=O)c1ccc(NC(=O)CNC(=O)CNC(=O)C2O[C@@H]3OC(C)(C)O[C@@H]3[C@H]3OC(C)(C)O[C@@H]23)cc1,3.39,
