,smiles,logP
0,O=C(COc1ccccc1)NNCc1ccccc1,2.16
1,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F,3.36
2,Cc1ccc(C)n1-c1ccc(-c2ccnc3ncnn23)cc1,3.5
3,Fc1cccc(F)c1,2.21
4,Cc1cccc(Cl)c1O,2.8
5,C#CCNC(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1,-0.31
6,CCC(C)NC(=O)C=Cc1ccccc1,2.85
7,NCCc1nc(-c2ccccc2)cs1,2.22
8,O=C1NC(=O)N(Cc2ccccc2)C(=O)C1=O,1.02
9,Cc1ccc(S(=O)(=O)N(C)c2ccc(OCC(=O)N3CCN(c4ncccn4)CC3)cc2)cc1,4.46
10,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,1.92
11,CCOC(=O)c1cnc2n(c1=O)C(C)CCC2,0.62
12,Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.82
13,CNC(N)=S,-0.69
14,c1ccc2c(c1)Cc1ccccc1C2,4.25
15,CC(=O)Oc1ccccc1C(=O)OCS(C)(=O)=O,0.57
16,CC(C)c1ccc(OC(=O)N(C)C)cc1,3.04
17,CN(C)C1=NC(=O)C(=Cc2ccc([N+](=O)[O-])o2)S1,1.14
18,CS(=O)c1scc(-c2ccccc2)c1[N+](=O)[O-],3.2
19,CN(CCCN=c1[nH][n+]([O-])c2ccccc2[n+]1[O-])CCCNC(=O)c1cccc2cc3ccccc3nc12,1.53
20,N=C1NCC(CN2CCN(c3ccc(F)cc3)CC2)O1,1.0
21,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.36
22,COC(=O)CNC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,1.69
23,COC(=O)c1ccc(N)cc1,1.37
24,Clc1ccc(Br)cc1,3.54
25,Clc1cc(Cl)c(Oc2c(Cl)cccc2Cl)cc1Cl,5.98
26,O=C(NP(=O)(N1CC1)N1CC1)c1ccc(Br)cc1,1.63
27,COCCn1cnc2c(=N)n(C)c(=O)[nH]c21,-0.96
28,Cc1ccc(C=C[N+](=O)[O-])cc1,2.66
29,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,4.63
30,NC(=O)CCOc1ccccc1,0.8
31,COC(=O)C(O)c1c(-c2ccc(Cl)cc2)nc(=O)[nH]c1-c1ccc(Cl)cc1,3.56
32,CC(C(=O)O)c1ccc(-c2nc3c(s2)CCCC3)cc1,4.41
33,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,7.75
34,CCOc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OCC)c1,2.52
35,CN(C)c1cnccn1,0.93
36,CCCCC1OC(=O)c2cc(NC(C)=O)ccc21,2.77
37,CCCOc1ccccc1NC(=O)OC1CCCCC1CN(C)C,4.44
38,Cc1c(Cl)cc(C(C)C)c(Cl)c1Cl,6.2
39,CCc1ccc2c(c1)N=C(C)NS2(=O)=O,1.25
40,CCCCCCOC(=O)C(CC)C(CO)Cc1cncn1C,2.71
41,O=C(Nc1ccc(Br)cc1)c1ccccc1O,4.51
42,Nc1ccc(O)c([N+](=O)[O-])c1,0.96
43,Oc1ccc(I)c2cccnc12,3.27
44,CC(C)COC(=O)c1cc(=O)[nH]c(=O)[nH]1,1.01
45,CC1CCCCN1N=O,0.71
46,COc1c(OC)c(OC(=O)C(C)C)c2ccccc2c1OC(=O)C(C)C,4.61
47,O=C1NC(=O)N(c2ccccc2)C1=O,0.6
48,Cc1cccc(NC(N)=O)c1,1.29
49,CC(=O)Nc1cc(C)c(C)c(C)c1,2.5
50,COC1N(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC(=O)C1(C)Br,1.12
51,CCOC(=O)c1ccc2cccccc1-2,3.83
52,O=[N+]([O-])c1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.78
53,Clc1cc(Cl)c(Oc2ccccc2)cc1Cl,5.44
54,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)cs1,1.11
55,Cc1n[nH]c(=NS(=O)(=O)c2ccc(N)cc2)s1,0.54
56,COC(=O)NC1=NCC(c2ccc(Cl)cc2)N1C,2.17
57,CC(C)(C)C1CCC(O)CC1,3.02
58,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,2.79
59,CC1=C2CC(C(=O)C1)C2(C)C,2.23
60,CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,3.72
61,Cc1cc(Cl)cc(Cl)c1NC1=NCCN1,2.38
62,COc1ccc(-c2ncc(Cl)nc2-c2ccc(OC)cc2)cc1,4.3
63,CCCCOCC(C)OC(=O)COc1[nH]c(F)c(Cl)c(=N)c1Cl,4.17
64,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Br,4.64
65,O=C(O)C(Cc1ccc(O)cc1)n1cccc1,1.56
66,O=C(C=Cc1ccccc1)N1CCCCC1,2.74
67,CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2c3ccccc3ccn2c1C(=O)c1ccccc1,4.48
