,smiles,logP
0,N=c1[nH]c(=O)c2ccccc2o1,0.27
1,NCc1ccccc1Sc1ccccc1CO,2.39
2,OB(O)c1ccccc1,1.58
3,CCN(N=O)C(=O)Nc1ccccc1,2.25
4,CCN(CC)CC(=O)OCn1ncc2c(=O)[nH]cnc21,0.2
5,O=C1C=C(Cl)C(=O)c2ccccc21,2.29
6,NC(=O)CCC(NS(=O)(=O)c1ccccc1)C(=O)O,0.33
7,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,2.06
8,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1,2.83
9,COC(=O)c1ccccc1C(=O)O,1.13
10,O=C1CCc2ccccc2N1,1.34
11,C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,5.9
12,Cc1cccc(OC(C)C(=O)NNC(C)C)c1,1.88
13,CN(C)CCNCCN,-0.92
14,CC(=O)NC(Cc1ccccc1)C(=O)NCC(N)=O,-0.5
15,O=C(CNC(=O)c1ccccc1)Oc1cccc(F)c1,2.58
16,COc1ccccc1N1CCN(CC2CN=C(N)O2)CC1,0.76
17,O=C(O)c1ccccc1O,2.26
18,C[C@H]1C[C@H](NC(=S)NCc2csc3ccccc23)CC(C)(C)C1,6.21
19,Cc1cc(O)ccc1O,0.91
20,O=C(O)CCS,0.43
21,CNC(=O)Oc1ccccc1C(C)(C)C,2.65
22,Cc1ccc(C)n1N=c1ccc(N2CCC(O)CC2)n[nH]1,1.7
23,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-1.22
24,C(#Cc1ccccc1)c1ccccc1,4.78
25,Nc1ccc(C(=O)O)cc1I,2.36
26,CCCCCCCC(=O)NN,1.0
27,Cc1cccc(C)c1NC(=O)c1ccc(CN2CCCCC2)cc1,3.86
28,Cc1ccccc1S(N)(=O)=O,0.84
29,N=c1nc(-c2cc(Cl)ccc2Cl)[nH]c(=N)[nH]1,1.97
30,N=c1[nH]cc(Cc2ccccc2OCC(N)=O)c(=N)[nH]1,-0.34
31,CCCCC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,3.62
32,CC(NC(=O)C(C)NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,-1.91
33,NC(Cc1ccc(O)c(O)c1)C(=O)OC1CCCCC1,1.79
34,Cc1ccc(-c2noc(C)n2)cc1,2.74
35,CNP(=O)(OC)Oc1cccc(C(C)(C)C)c1,2.65
36,O=C(NC(=O)c1ccccc1Cl)Nc1ccc(OC(F)(F)F)cc1,4.91
37,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,2.59
38,CCOC(=O)C1=CC2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.54
39,NC(C(=O)OCn1ncc2c(=O)[nH]cnc21)c1ccccc1,-0.15
40,O=c1cc[nH]c2ccccc12,0.58
41,NC(=O)c1c(Cl)cccc1Br,1.0
42,COC(=O)c1cccn1C,1.8
43,CCC(C)NC(=O)C(Br)=Cc1ccccc1,2.66
44,CC1(C)OC(=O)c2ccccc21,1.73
45,CCCCCCN=c1cc(-c2nc(=N)[nH][nH]2)cc[nH]1,3.3
46,OC(Cn1ccnc1)(c1ccccc1)c1ccc(Br)cc1,3.35
47,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,7.73
48,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,6.63
49,O=[N+]([O-])c1cccc(Cl)c1,2.46
50,CCCCCCCOc1cccc(NC(=O)OCCN2CCOCC2)c1,5.28
51,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCSC)NC(=O)C(N)C(C)C)C(=O)O,-0.63
52,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC21CCC(=O)O1,2.98
53,COP(=O)(NC(C)(C)C)SC,0.96
54,CCCN(CC)CC(F)(F)F,2.38
55,O=C(Cc1ccccc1)Nc1cccc([N+](=O)[O-])c1,2.93
56,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccccc1,4.42
57,O=C(NC(CO)C(O)c1ccc(NC(=O)C2CC2)cc1)C(Cl)Cl,0.75
58,Clc1ccc(Oc2ccc(Cl)cc2Cl)c(Cl)c1,5.95
59,N#CCCN(N)c1nc2cc(Cl)ccc2o1,1.72
60,NS(=O)(=O)c1nn2c(=Nc3ccccc3)snc2s1,2.57
61,CCOC(=O)CCCO,0.43
62,CC(=O)N=c1[nH]ccs1,0.76
63,Cc1ccc(-c2cc3ccccn3c2)cc1,4.96
64,Cc1ccccc1NC(=O)CN1CCCCC1,2.26
65,CSC(C)=NOC(=O)N(C)SN(C)C(=O)c1ccc(C)cc1,2.5
66,CCC1(C)CCC(=O)NC1=O,0.23
67,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1S(=O)(=O)O[Na],1.89
68,Cc1ccc(OC(=O)c2ccc(N)cc2O)cc1,3.38
69,Cc1ccc(N=C=S)cc1,3.92
70,c1ccc2c(c1)ccc1cccnc12,3.43
71,O=C1c2ccccc2OCN1CCO[N+](=O)[O-],1.85
72,CCOP(C)(=O)SCCN(C(C)C)C(C)C,2.09
73,COc1ccc(Oc2c(C(F)(F)F)oc3cc(OC(=O)N4CCOCC4)ccc3c2=O)cc1,4.63
74,Cc1ccc(C(C)C)c(Cl)c1Cl,5.5
75,Cc1ccc(/C=C/C(=O)NCCNC(=O)/C=C/c2ccc(C)o2)o1,3.97
76,Clc1cncc(Cl)n1,1.53
77,CCc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,2.67
78,CC(C)c1ccc(S(N)(=O)=O)cc1,1.84
79,OCCCCC(F)(F)F,1.15
80,Clc1ccc(-c2ccccc2Cl)cc1,5.09
