,smiles,logD
0,Nc1ccccc1[N+](=O)[O-],-0.96
1,CCCC(=O)C1(c2ccccc2)CCN(C(=O)C(Cc2ccc(OC)cc2)NC(=O)C(N)Cc2cncn2C)CC1,2.51
2,CNC(C)C(=O)NC(C(=O)N[C@H]1CCCN(CCc2ccccn2)C1)C(C)(C)C,-0.55
3,N#CCNC(=O)C1CCCCC1C(=O)N1CCN(c2ccc(C#N)cc2)CC1,1.79
4,CC(C)(C(=O)c1cccnc1)c1cccnc1,1.45
5,CNc1cnc(-c2ccc(F)cc2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O,1.86
6,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-0.96
7,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,0.47
8,COCCNCc1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,1.86
9,CN1CCN(CC(=O)N=c2c(C#N)c[nH]n2-c2ccccc2)CC1,0.0
10,CCC[C@@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,2.27
11,Cc1ccc2c(c1)c(Sc1ccc(S(C)(=O)=O)cc1)c(C)n2CC(=O)O,-0.08
12,COc1ccc(C=NN=Cc2ccc(OC)c(OC)c2)cc1OC,3.38
13,CC(C)c1ccccc1N=c1nc(SCc2cccs2)[nH][nH]1,4.21
14,CC(=O)NC1CC(C)N(C(=O)c2ccccc2)c2ccccc21,2.0
15,NC(=O)C1CCCCC1,0.9
16,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,2.93
17,CCN(C(C)=O)c1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,1.61
18,NC(=O)c1c[nH]c(=N[C@H]2CCCNC2)c2cc(-c3ccc(F)cc3)sc12,2.01
19,Cc1c(Oc2ccc(Cl)cc2)c2cc(C(F)(F)F)ccc2n1CC(=O)O,2.28
20,Clc1cccc(-c2cnc3ccc(=NC4CCOCC4)[nH]n23)c1,4.3
21,CCN(CC)C(=O)c1ccc(C(=C2CCN(Cc3ccc(F)cc3)CC2)c2cccc3cccnc23)cc1,3.86
22,C[C@H](CO)N=c1[nH]c(SCc2ccco2)nc2[nH]c(=O)sc12,2.21
23,CC(C)NC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)O)c3)cnc2[nH]1,-0.62
24,O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccc(F)c(Cl)c1,3.98
25,Nc1ccccc1NC(=O)c1ccc(-c2ncc(CN3CCC3)cc2F)cc1,1.69
26,N=C(N)Nc1ccc(C(=O)Oc2ccc(Cl)cc2)cc1,0.7
27,Cc1cc(C)c2c(N)c(C(=O)NCc3ccccc3)sc2n1,3.41
28,CC(C)Cn1c(=O)n(C)c(=O)c2c(-c3cncn3C)n(Cc3cccc4ccccc34)nc21,4.1
29,CN(c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1)S(C)(=O)=O,-0.81
30,CCOc1ccc(-c2cnc3n2CCC3)cc1,2.65
31,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,0.39
32,O=C(O)c1ccc2[nH]c(C(F)(F)F)nc2c1,-1.08
33,O=C(CCc1ccccc1O)Nc1ccccc1,2.71
34,CNC(=O)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,1.99
35,COc1cc(F)ccc1-c1cncc(CNC2CCC2)n1,2.23
36,Cc1ccc(OC(=O)N2CCN3CCC2CC3)cc1,1.02
37,CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)O)c3)cnc2[nH]1,-0.99
38,Cc1oc2cc(O)ccc2c(=O)c1-c1ccccc1,2.95
39,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,3.45
40,Cc1nc(C(=O)N2CCCC3(CCN(Cc4ccccc4)CC3)C2)cs1,0.24
41,COc1cc(C=C2SC(=O)NC2=O)cc(OC)c1O,0.74
42,CCC(c1cccnc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,0.7
43,CNC(=O)c1cc(-c2nc(N3CCOCC3)cc(C3(S(C)(=O)=O)CC3)n2)c2cc[nH]c2c1,1.7
44,COc1cc2[nH]cnc(=Nc3ccccc3)c2cc1OC,3.04
45,COC[C@H](C)Oc1cc(Oc2ccc(S(C)(=O)=O)cc2)cc(C(=O)N=c2ccc(C(=O)O)c[nH]2)c1,-0.41
46,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,2.98
47,COc1cc(N2CC3COCC(C2)N3)ccc1N=c1nc(-c2cnc3ccccn23)c(Cl)c[nH]1,3.0
48,COc1cc(F)ccc1-c1cncc(C2CCCN2)c1,1.1
49,N=c1[nH]c(=N)c2nc(CO)cnc2[nH]1,-0.45
50,c1ccc(CSc2nc3cccnc3[nH]2)cc1,3.22
