,smiles,logP,logD
0,CCCC(=O)OCn1cc2c(=O)[nH]cnc2n1,0.33,
1,Cc1cccc(C)c1NC(=O)CCCC(C)N,1.41,
2,Cc1ccc2ccccc2c1,3.86,
3,NC1(C(=O)O)CCCC1,-2.28,
4,COc1cc(C(O)CO)ccc1O,-0.58,
5,COP(C)(=O)OC,-0.61,
6,O=C1CC(Oc2ccc(C(=O)CCc3ccccc3)cc2)N1,2.48,
7,CCCCN(C)C(=O)c1cccc(Oc2ccccc2)c1,3.89,
8,CCC(N)C(=O)Nc1c(C)cccc1C,0.84,
9,C=CC(=O)OCC(C)C,2.22,
10,O=C1NC(=O)C2(CCCC2)C(=O)N1,0.24,
11,CCOC(=O)C1C(C)=NC(=O)N[C@H]1c1ccc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)o1,6.04,
12,N=c1cc2ccccc2n[nH]1,1.0,
13,CCNP(=O)(OCC)ON=C(C#N)c1ccc(OC)cc1,2.39,
14,CCOC(=O)c1cccnc1,1.32,
15,CN(C)CC=Cc1ccccc1,2.61,
16,O=[N+]([O-])c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,-0.39,
17,CCS(=O)(=O)CC,-0.59,
18,CCOc1ccc(CC(=O)C2=C(N3CCCC3)CCCC2=O)cc1OCC,3.3,
19,Cc1cc(N=NC(=N)N)ccc1NNC(N)=S,1.66,
20,CCOC(=O)CN1C(=O)CC1Oc1ccc2ccccc2c1,2.8,
21,CCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1.79,
22,Clc1ccc(Oc2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,6.84,
23,Cn1cnc([N+](=O)[O-])c1S(=O)(=O)Oc1ccccc1,1.08,
24,COC(=O)C1=C(C)N=C(C)C(C(=O)OC)[C@@H]1c1cccc(Cl)c1,4.22,
25,Cc1ccc(NC(=O)COC(=O)/C(=C/c2cccs2)c2cccs2)c(C)c1,3.83,
26,CC(=O)OC1(C(=O)CO)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(=O)CC21C,2.43,
27,CN(C)c1cc(N)[n+]([O-])c(=N)[nH]1,0.16,
28,COc1cc(OC)c(C2C3C(=O)CCCC3=Nc3ncnn32)cc1OC,2.19,
29,O=C(Oc1ccc(Cl)cc1Cl)N1CCCC1,3.94,
30,CN(C)c1nc2c3cccnc3ccc2n1C,2.28,
31,CCCC(=O)OCC(O)CO,-0.17,
32,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,-0.77,
33,CN(N)C(=O)c1ccccc1,0.7,
34,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(F)cc1,3.2,
35,COc1ccc(NC(=O)N(C)C)cc1Cl,1.64,
36,CCOC(=O)CON=Cc1ccc(OCCOC(=O)c2ccccc2OC)c(OC)c1,3.27,
37,ClC1=C(Cl)C2(Cl)C(Cl)(Cl)C3CC(Cl)C1C3C2(Cl)Cl,6.09,
38,NC(=O)NCCCCn1nc(-c2ccccc2)ccc1=O,1.21,
39,c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOCCOc1ccccc1OCCO2,1.82,
40,CCOC(=O)C=Cc1ccc([N+](=O)[O-])o1,2.1,
41,CCCCOc1ccccc1NC(=O)OCCN1CCOCC1,3.25,
42,O=C(O)CCC1=NS(=O)(=O)c2ccc(C(F)(F)F)cc2N1,1.3,
43,CCCCCCCCCCCCCCCC(=O)OC,7.38,
44,CN(C)N=Nc1ccccc1C(=O)NC#N,0.8,
45,CCCCCCCI,4.7,
46,Cc1no[n+]([O-])c1-c1ccccc1,2.16,
47,Cc1[nH]n(-c2ccccc2)c(=Nc2ccc(C(F)(F)F)cc2)c1[N+](=O)[O-],3.89,
48,CCOC(=O)CNCCCCCSc1c2[nH]cnc2nc[n+]1[O-],0.87,
49,CC1=C(C(=O)O)SCCO1,0.04,
50,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,7.25,
51,C#CCn1nnnc1Oc1ccc(NC(=O)N(C)C)cc1,1.0,
52,CCOP(=O)(ON=C(C#N)c1ccccc1)N(C)C,3.29,
53,Nc1cccc2cc3ccccc3cc12,3.69,
54,CC(C)(C)c1ccc(C(N)=O)cc1,2.51,
55,Cc1ncc([N+](=O)[O-])n1CCS(=O)(=O)C(C)C,0.13,
56,Cc1c(O)c(=O)ccn1-c1ccc([N+](=O)[O-])cc1,0.76,
57,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,2.94,
58,S=C1NCCCN1,-0.68,
59,CCC(C)C(NC(=O)C(NC(=O)C(C)NC(C)=O)C(C)C)C(N)=O,-0.2,
60,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,5.66,
61,N#CC1(C#N)[C@H](c2ccc(Br)s2)C(C(=O)c2ccccc2)N2c3ccccc3C=C[C@@H]21,5.05,
62,COc1cc2c(c(OC)c1OC)-c1ccc(=O)c(OC)cc1C(NC(=O)C(F)(F)F)CC2,2.08,
63,O=C(O)CCc1ccccc1,1.84,
64,Cc1n[nH]c(=N)o1,-0.92,
65,CC(C)NC(=O)c1cccnc1,0.59,
66,[NH-][NH+]=CC(=O)NCC(=O)NCC=O,-1.35,
67,CCOC(=O)Cn1ccnc1C=Cc1ccc([N+](=O)[O-])o1,1.27,
68,OCCCn1nc2ccccc2n1,1.4,
