,Unnamed: 0,smiles,logP,logD
0,12182,O=C1c2cc([N+](=O)[O-])ccc2-c2ccc([N+](=O)[O-])cc21,2.84,
1,9681,Cn1c(=O)n(C)c2ccccc21,1.46,
2,6126,CNC(=O)ON=C(C)SC,0.6,
3,8243,Cc1c(O)c(=O)ccn1CCN,-1.55,
4,12918,O=c1nc(N=CN2CCOCC2)ccn1C1CC(O)C(CO)O1,-1.54,
5,5542,CN(C)C(=O)Oc1cccc(N(C)C)c1,1.93,
6,2478,CC1CCCC(C)N1,1.53,
7,13158,ON=C(c1ccccc1)c1ccccc1,3.2,
8,8801,Cc1cccc(C)c1NC(=O)C1CCCCN1C,1.95,
9,7888,COc1cnccn1,0.73,
10,16765,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,,1.6
11,15666,C[C@@H]1CCCN1CCc1cc2cc(-c3ccc(C#N)cc3)ccc2o1,,3.51
12,13545,c1ccc2c(c1)Cc1ccccc1C2,4.25,
13,7166,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1C(C)=O,1.1,
14,16415,Cn1c(CN2CCN(c3cccc(Cl)c3)CC2)nc2ccccc21,,3.75
15,7415,COc1ccc(CC(C)N)c(OC)c1,1.75,
16,9827,FC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.19,
17,16132,Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(C)c4Cl)CC3)CC2)cc1,,2.2
18,15837,Cc1c(Sc2ccc(Cl)cc2)c2c(Cl)nccc2n1CC(=O)O,,0.92
19,11794,O=C(O)c1ccc(C(F)(F)F)cc1,3.1,
20,15795,Cc1[nH]n(-c2ccc(F)cc2)c(=NS(=O)(=O)c2cccnc2)c1C(=O)N[C@@H](C)C(C)(C)C,,0.4
21,11836,O=C(O)c1cccc([N+](=O)[O-])c1,1.83,
22,14441,CCN(CCO)CCCOc1cc2[nH]cnc(=Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)c2cc1OC,,2.12
23,7032,COc1c(N)cccc1[N+](=O)[O-],1.78,
24,15797,Cc1[nH]n(-c2ccccc2)c(=NS(=O)(=O)c2cccc(CN3CCOCC3)c2)c1C(=O)N[C@@H](C)C(C)(C)C,,0.29
25,9901,N#CC(C#N)=NNc1ccc(CCCl)cc1,3.58,
26,2472,CC1CCC2CC(=O)N(CC(=O)O)C3OC4(C)CCC1C23OO4,1.75,
27,7474,COc1ccc(N(CCCC(=O)O)C(=O)c2ccc(Cl)cc2)cc1,2.7,
28,6239,CNC(=O)c1ccco1,0.23,
29,10570,NC(CCC(=O)O)C(=O)O,-3.69,
30,16327,Cc1nnsc1C(=O)Nc1ccccc1,,0.97
31,16655,N=c1[nH]c(SCc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,1.24
32,12614,O=[N+]([O-])c1cccc(Br)c1,2.64,
33,11443,O=C(Nc1ccc(F)cc1F)c1cc(Cl)cc(Cl)c1O,4.55,
34,7545,COc1ccc(Oc2c(C(F)(F)F)oc3cc(OC(=O)N4CCOCC4)ccc3c2=O)cc1,4.63,
35,4734,CCOC(=O)NC1=NCC(c2ccc(F)cc2)N1C,1.9,
36,11158,O=C(CBr)c1ccccc1,2.19,
37,17435,O=c1[nH]n(CC#Cc2ccccc2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,,1.78
38,1921,CC(C)OC(=O)Nc1ccccc1,2.6,
39,856,CC(=O)Nc1cc(C(F)(F)F)c(Cl)cc1Cl,3.24,
40,1857,CC(C)NCC(O)COc1ccc(OCCOCCc2ccc(F)cc2)cc1,3.7,
41,16895,O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCc2ccccc2C1,,3.7
42,1432,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1C(F)(F)F,2.85,
43,4160,CCCn1ccc(=O)c(O)c1CC,0.7,
44,16988,O=C(NC1CCCCC1)C1CCCN(S(=O)(=O)c2cccs2)C1,,2.93
45,6165,CNC(=O)Oc1ccc(C#N)cc1,0.95,
46,8231,Cc1c(N2CCOCC2)c(=O)n(-c2ccccc2)c(=O)n1C,0.69,
47,7512,COc1ccc(O)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,2.78,
48,16442,Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,,4.33
49,12086,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,2.63,2.19
50,2002,CC(C)c1ccccc1C(C)C,4.1,
51,7148,COc1cc(CCO)ccc1O,0.47,
52,1305,CC(C(=O)O)c1ccc(-c2nc3c(s2)CCCC3)cc1,4.41,
53,3544,CCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],-1.22,
54,14243,CCCCCCN1CC[C@]2(C)c3cc(O)ccc3CC1[C@@H]2C,,2.5
55,8272,Cc1c[nH]cn1,0.23,
56,15128,COc1cc(F)ccc1-c1cncc(CNC(=O)c2ccccc2)c1,,3.76
57,15816,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]nc3C(F)(F)F)CC2)c1Cl,,3.66
58,15537,COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,,1.5
59,15499,COc1cccc(CNCc2cccc(CCNC[C@H](O)c3ccc(O)c4[nH]c(=O)sc34)c2)c1,,0.91
60,605,CC(=O)CC(C)C,1.31,
61,1081,CC(=O)OCCCN=c1ccc(-c2ccncc2)c[nH]1,2.42,
62,9030,Cc1cnc2ccccn2c1=O,0.77,
63,11815,O=C(O)c1ccc([N+](=O)[O-])c(O)c1,1.98,
64,4737,CCOC(=O)NC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,2.3,
65,9314,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,5.47,
66,15946,Cc1cc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)oc1C,,1.0
67,12796,O=c1[nH]c2c(O)ccc(CCNCCSCCCOCCc3ccccc3)c2s1,2.86,
68,15435,COc1ccc(S(=O)(=O)N2CCC[C@H](n3cc(C)c(=O)[nH]c3=O)C2)cc1Oc1cccc(Cl)c1,,2.73
69,14400,CCN(CC)C(=O)c1ccc(C(=C2CCN(Cc3ccc(F)cc3)CC2)c2ccccn2)cc1,,3.28
70,10864,NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NC(Cc1ccccc1)N2,1.03,
71,1992,CC(C)c1cccc(C(C)C)c1O,3.79,
72,1570,CC(C)=NNP(=O)(N1CC1)N1CC1,0.45,
73,5432,CN(C(=O)CCC#N)c1ccc(S(=O)(=O)N(C)C)cc1,-0.17,
74,6270,CNC12CC=CCC1c1ccccc1C2,3.28,
75,14562,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(N)=O)c(C)c1,,2.77
76,7370,COc1ccc(C(C)NCCC(c2ccccc2)c2ccccc2)cc1OC,5.8,
77,14442,CCN(CCO)CCCOc1cc2[nH]cnc(=Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,,1.94
78,11369,O=C(NCCCO)C(F)(F)Cn1cnc([N+](=O)[O-])n1,-0.63,
79,110,C#CCOc1c(Cl)cc(N=CNOC(C)C)cc1Cl,3.9,
80,14133,CC1(c2ccccc2)CC(=O)N=C(N)N1,,0.62
81,1830,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3[nH]c-2cc1=Nc1ccc(Cl)cc1,7.66,3.17
82,1628,CC(C)C(NC(=O)C(N)CCC(N)=O)C(=O)O,-1.85,
83,14137,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1,,-0.01
84,4431,CCNC(=O)CCC(NS(=O)(=O)c1ccccc1)C(=O)O,0.15,
85,1094,CC(=O)OCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,0.11,
86,16346,Cc1onc(CO)c1C(=O)N=c1[nH]ccs1,,1.53
87,3211,CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCN=c1[nH][nH]c(=N)[nH]1)C(C)C,4.0,
88,2238,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O,3.77,
89,7881,COc1cncc(=NC(C)=O)[nH]1,0.82,
90,9507,Clc1ccc(Oc2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,6.47,
91,15284,COc1cc2c(=Nc3ccc(Cl)cc3F)[nH]cnc2cc1OCCCN1CCOCC1,,3.4
92,1134,CC(=O)Oc1ccc(N(C)C(=O)C(Cl)Cl)cc1,1.56,
93,10723,NNC(=O)Nc1ccc([N+](=O)[O-])cc1,-0.18,
94,10890,NS(=O)(=O)c1nn2c(=Nc3cccc(Cl)c3)snc2s1,3.5,
95,3135,CCCC1CNC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)C1,0.04,
96,1986,CC(C)c1cccc(-c2ccccc2)c1,5.33,
97,14607,CCc1[nH]c2nc(Sc3cnc4ccc[n+]([O-])c4c3)nc(N3C[C@H]4[C@H](N)[C@H]4C3)c2c1Cl,,2.3
98,15302,COc1cc2cc(-c3ccc(O)cc3O)nc(C)c2cc1OC,,3.9
99,17113,O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br,,3.9
100,12747,O=c1[nH]c2c(O)ccc(CCNCCCCCCS(=O)(=O)CCc3ccccc3)c2s1,1.44,
101,17146,O=C(O)C(Cc1ccccc1F)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,2.58
102,15267,COc1cc2[nH]cnc(=Nc3cccc(Cl)c3F)c2cc1OC1CCN(S(C)(=O)=O)CC1,,2.82
103,13082,OCCCOc1cccc(CN2CCCCC2)c1,2.78,
104,9666,Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O,-0.22,
105,8193,Cc1c(Br)cccc1NC1=NCCN1,1.94,
106,8727,Cc1ccc2c([N+](=O)[O-])cc[n+]([O-])c2c1,1.42,
107,9348,Clc1cc(Cl)c(Oc2ccccc2Cl)cc1Cl,5.97,
108,12288,O=NN(CCCl)C(=O)NC1CCCCC1C(=O)O,2.01,
109,8875,Cc1cccc(Oc2ccc([N+](=O)[O-])cc2)c1,4.4,
110,12165,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,2.39,2.38
111,8880,Cc1cccc([N+](=O)[O-])c1C(=O)NC(=O)Nc1ccc(Cl)cc1,3.75,
112,16207,Cc1ccsc1C(=CCCN1CCCC(C(=O)O)C1)c1sccc1C,,1.49
113,14005,CC(C)N=c1[nH]c(=NCc2ccccc2)c2sccc2[nH]1,,3.9
114,7412,COc1ccc(CC#N)cc1,1.7,
115,4700,CCOC(=O)CON=Cc1ccc(OCCOC(=O)CC)c(OC)c1,2.39,
116,12264,O=Cc1ccccc1[N+](=O)[O-],1.74,
117,6295,CNCC(O)c1ccc(O)cc1,-0.45,
118,8655,Cc1ccc(O)c(CO)c1,0.97,
119,1491,CC(C)(C)c1cc(O)ccc1[N+](=O)[O-],3.65,
120,15751,C[C@H]1COCCN1c1nc(N2CCOC[C@@H]2C)c2ccc(-c3cccc(C(=O)NCCO)c3)nc2n1,,2.49
121,10507,NC(=O)c1ccccc1F,0.59,
122,12277,O=NN(CCCl)C(=O)NC1(C(=O)O)CCCC1,2.01,
123,2421,CC1C=C2CC(=O)CCC2C2CCC3(C)C(CCC3(C)O)C12,3.19,
124,8268,Cc1c[nH]c(=NS(=O)(=O)c2ccc(N)cc2)c(Br)c1,1.79,
125,12828,O=c1[nH]nc(SCc2ccccc2)[nH]1,1.47,
126,2057,CC(CCO)C(F)(F)F,1.37,
127,16406,Cn1c(=O)cc(CCc2ccccc2)[nH]c1=N,,2.0
128,8456,Cc1cc2n(c1C(=O)c1ccc(Cl)cc1)CCC2C(=O)O,3.6,
129,15020,COCCN(C)Cc1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,,2.65
130,4670,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,4.3,
131,16392,Cn1c(-c2ccccc2)cc2onc(-c3ccncc3)c2c1=O,,3.17
132,13666,c1cncc(CN2CCCC2)c1,1.1,
133,7509,COc1ccc(NS(=O)(=O)C(F)(F)F)cc1,3.0,
134,4918,CCOP(=O)(Cc1ccc(CP(=O)(OCC)OCC)o1)OCC,3.25,
135,12173,O=C1OC(O)c2ccccc21,0.57,
136,1847,CC(C)NCC(COc1cccc2ccccc12)OS(=O)(=O)O,1.16,
137,6506,COC(=O)CS(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.63,
138,5846,CN(Cc1ccc([N+](=O)[O-])cc1)N=O,0.82,
139,3947,CCCN=C(NC)NC#N,0.42,
140,10463,NC(=O)c1c(Cl)cccc1[N+](=O)[O-],0.12,
141,17259,O=C(c1ccc(F)cc1)C1CCN(C(=O)c2ccc(F)cc2)CC1,,2.9
142,14010,CC(C)NCC(C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,,1.3
143,15869,Cc1cc(=N)c2cc(NC(=O)CCC(=O)Nc3ccc4[nH]c(C)cc(=N)c4c3)ccc2[nH]1,,1.39
144,11469,O=C(Nc1ccccc1)NC(CO)(CO)CO,0.43,
145,6258,CNC(=S)NNc1ccccc1,1.17,
146,1049,CC(=O)OC=C1CSC2C(NC(=O)Cc3cc4ccccc4s3)C(=O)N2C1C(=O)O,1.68,
147,17142,O=C(O)C(Cc1ccc(F)cc1)N1CCC(CN2CCC(Oc3ccc(Cl)cc3Cl)CC2)CC1,,2.6
148,13719,C=CC1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,,2.16
149,11116,Nc1ccccc1S,1.43,
150,7603,COc1ccc2c(c1)OCC2NC(=O)CN1CCCC1,1.92,
151,17461,O=c1c2ncc3ccccc3c2[nH]n1-c1ccccc1,,0.8
152,5607,CN(C)C(N)=S,-0.43,
153,818,CC(=O)NNC(=O)Nc1ccc(N(C)C)cc1,0.11,
154,1388,CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O,4.42,
155,1692,CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCN=C(N)N)C(=O)O,-0.12,
156,5611,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-0.62,
157,16539,N#Cc1cc(Cl)ccc1O[C@H](CCN)c1ccccc1,,0.91
158,10238,N=c1[nH]nc(S(N)(=O)=O)s1,-0.9,
159,14216,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,,0.6
160,6541,COC(=O)NCCn1c([N+](=O)[O-])cnc1C,0.02,
161,15624,CS(=O)(=O)c1cccc(N=c2[nH]ccc(=Nc3cccc4ocnc34)[nH]2)c1,,2.9
162,981,CC(=O)Nc1cccc2ncccc12,0.71,
163,11670,O=C(O)COc1cccc(F)c1,1.48,
164,16060,Cc1ccc(N=c2nc(N(C)c3ccc4c(C)n(C)nc4c3)cc[nH]2)cc1S(N)(=O)=O,,3.3
165,2483,CC1CCCC1,3.37,
166,1224,CC(=O)c1ccc2cc(C(C)C(=O)OCC(=O)N(C)C)ccc2c1,2.05,
167,4009,CCCOC(=O)c1cc(O)c(O)c(O)c1,1.8,
168,6141,CNC(=O)ON=C1SCSC1C,0.91,
169,10490,NC(=O)c1ccc[nH]1,0.09,
170,5653,CN(C)CCCc1ccco1,2.08,
171,13566,c1ccc2c(c1)OCCOCCOc1ccccc1OCCO2,2.21,
172,13892,CC(C)(c1cc(N2CCOCC2)nc(-c2cccc3[nH]ccc23)n1)S(C)(=O)=O,,2.65
173,15593,CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN(C(=O)C[C@H](N)Cc3ccc(F)c(F)c3)[C@H](Cc3ccccc3)C2)c1,,2.06
174,15145,COc1cc(N2CCN(C(C)=O)CC2)ccc1N=c1nc(-c2cnc3c(F)cc(F)cn23)c(Cl)c[nH]1,,3.2
175,8164,Cc1[nH]c2ccccc2c1C,3.05,
176,15100,COc1cc(C(=O)NC[C@@H](O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)ccc1N,,3.12
177,5293,CCc1cccc(C(C)C)c1NC(C)=O,2.1,
178,16650,N=c1[nH]c(N)ccc1N=Nc1ccccc1,,3.22
179,843,CC(=O)Nc1c(C)cccc1Cl,1.22,
180,12895,O=c1ccnc2ccccn12,0.2,0.2
181,3858,CCCCc1ccc(O)c(O)c1,2.96,
182,15745,C[C@H]1CN(Cc2nnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)C[C@@H](C)O1,,4.01
183,16978,O=C(NC(Cc1ccc(OCCCN=c2cccc[nH]2)cc1)C(=O)O)c1c(Cl)cccc1Cl,,-0.22
184,9991,N#CN=[N+]([O-])c1ccccn1,0.53,
185,15704,C[C@H](CO)N=c1[nH]c(SCc2cccc(F)c2F)nc2[nH]c(=N)cnc12,,2.89
186,3319,CCCCCCCC/C=C/CCCCCCCC(=O)O,7.64,
187,12957,OC(Cn1ccnc1)(c1cccc(Br)c1)c1ccc(F)cc1F,3.6,
188,4843,CCOC(=O)c1sc(=NCCN=c2[nH]c(C)c(C(=O)OCC)s2)[nH]c1C,4.66,
189,17577,c1ccc(CNCCNCc2ccccc2)cc1,,0.73
190,995,CC(=O)Nc1ccccc1I,1.62,
191,3165,CCCCC(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)CC1O,1.44,
192,11828,O=C(O)c1cccc(CSc2ccccc2)c1O,4.28,
193,4236,CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C,2.41,
194,14317,CCCSc1ncccc1C(=O)N(C)C1CCOCC1,,1.63
195,7214,COc1cc(O)ccc1O,0.47,
196,1479,CC(C)(C)[N+](=O)[O-],1.17,
197,9877,ICCCI,3.02,
198,9850,Fc1ccc(SCc2ccc(CCCN3CCOCC3)cc2)cc1,3.51,
199,927,CC(=O)Nc1ccc(O)cc1,0.46,0.25
200,12872,O=c1cc[nH]c2ccccc12,0.58,0.8
201,10113,N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.22,
202,16204,Cc1ccn2c(-c3cc[nH]c(=N)n3)c(C)nc2c1,,2.39
203,7858,COc1ccccc1[N+](=O)[O-],1.73,
204,11074,Nc1cccc(F)c1,1.3,
205,12147,O=C1NC(=O)C2(CCOc3ccc(F)cc32)N1,0.78,
206,9703,Cn1c(SCC(=O)NC2CCCCCC2)nnc1-c1ccc(Cl)cc1,4.21,
207,7529,COc1ccc(OC)c(NC2=NCCN2)c1,0.97,
208,10639,NC1CCc2ccccc2C1O,0.81,
209,5946,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,3.59,
