,smiles,logP
0,COC(=O)c1cccc(NC(=O)CCN2C(=O)c3ccccc3C2=O)c1,3.39
1,Oc1c2c(c(O)n1CCCCN1CCN(c3ncccn3)CC1)C1C=CC2C1,1.36
2,CC(=O)Nc1ccccc1C(C)=O,1.5
3,N=c1[nH]c(N2CCOCC2)cc(N)[n+]1[O-],0.36
4,COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,3.05
5,CCCCS(=O)c1sc(C#N)c(Cl)c1C#N,3.44
6,CCOC(=O)c1c[nH]c2c(c(-c3ccccc3)nn2-c2ccccc2)c1=Nc1ccc(O)cc1,3.09
7,CC(C)NC(=O)n1cc(O)n(-c2cc(Cl)cc(Cl)c2)c1=O,3.0
8,Cn1cnc2ccccc2c1=O,0.69
9,CCCCC(CC)COC(=O)n1cnc(CC(NC(=O)c2ccc(O)[nH]2)C(O)N2CCCC2C(N)=O)c1,1.82
10,O=C1C=NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,2.41
11,Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O,-0.22
12,CNC(=O)ON=C1CSCCS1,0.49
13,CCc1ccc([C@@H]2C(C(=O)OC(C)C)=C(C)N=C3SCCC(=O)N32)cc1,4.75
14,N=c1[nH]cnc2c1nc(SCc1ccccc1)n2C1OC2COP(=O)(OCc3ccccc3)OC2C1O,1.92
15,COc1ccccc1C(=O)NCCCCN,0.58
16,CCc1ccc(F)c(NC(=O)N(C)C(=O)NC)c1,3.23
17,Cc1[nH]c(=O)[nH]c1O,-0.91
18,O=C(O)c1ccc[nH]1,0.85
19,CC1(C)C2CCC(CN)C1C2,2.05
20,CC(C)Oc1ccc([N+](=O)[O-])cc1,2.8
21,Cn1c([N+](=O)[O-])cnc1-c1nc2ccccc2n1CCCN1CCOCC1,1.8
22,O=C(c1ccncc1)c1ccc([N+](=O)[O-])cc1,1.76
23,COC(=O)c1ccccc1CS(=O)(=O)N=c1nc(OC)cc(OC)[nH]1,2.4
24,CC(C)(C)C1CCC(c2ccccc2)(N2CCCCC2)CC1,6.67
25,CC(=O)OC=C1CSC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,0.26
26,CCC(C)C(NC(C)=O)C(=O)NC(C)C(=O)NC(C(N)=O)C(C)C,-0.21
27,CN(CCCN=c1[nH]c2ccccc2n2cccc12)CCCN=c1[nH]c2ccccc2n2cccc12,4.12
28,CC(=Cc1ccccc1)C(=O)O,2.6
29,Cc1ccc(C)c2c(C)cccc12,4.9
30,C=C(C)C1CCC(C)C(=O)C1,2.85
31,O=C(O)Cc1ccc(C2CCCCC2)cc1,3.91
32,COc1ccccc1[C@@H]1C=C2N=C(C)C(C(=O)OC3CCCC3)[C@@H](c3ccc(OC(C)=O)cc3)C2C(=O)C1,5.81
33,CCCCCC(C)N=c1[nH]c(Cl)nc(=NCC)[nH]1,4.74
34,Cn1c([N+](=O)[O-])cnc1C(N)=O,0.29
35,Cc1nc(C#Cc2cccnc2)cs1,2.1
36,Cc1cccc2ncc(-c3ccccc3)c(=O)n12,2.59
37,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,4.68
38,CCN(CC)c1nc(=NC(C)C)nc(Cl)[nH]1,3.94
39,Cc1cc(Br)cc(C(=O)NC(C)C)c1O,4.19
40,CC(=O)OCOc1ccccc1C(=O)NCN1CCOCC1,0.27
41,NCC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)O,-0.92
42,COc1ncnc2c1ncn2C1OC(COC(=O)C(C)C)C(OC(=O)C(C)C)C1OC(=O)C(C)C,3.96
43,NN(c1ccccc1)c1ccccc1,2.8
44,N=C1NC(=O)C(=Cc2ccc([N+](=O)[O-])o2)S1,1.09
45,CCCCCOC(=O)Nc1ccccc1,3.8
46,COc1ccc(NC(=O)Cc2ccccc2)cc1,2.49
47,NC(=O)Nc1cccc(Br)c1,2.08
48,C(=N/n1cnnc1)\c1ccc(-n2nc(-c3ccccc3)cc2-c2ccccc2)cc1,5.58
49,Cc1ccccc1C(=O)Nc1cccc(OC(C)C)c1,3.66
50,COCC(O)Cn1c(C)cnc1[N+](=O)[O-],0.03
51,Cc1cccc(C)c1NC(=O)c1ccc(CN2CCOCC2)cc1,2.0
52,CCCCCCOC(=O)c1ccc(O)cc1,4.35
53,CCCCC(=O)OC,1.96
54,C#CCOc1cc(N=CNOC)cc(Cl)c1OCC#C,2.3
55,O=S1(=O)N=C(CCl)Nc2cc(Cl)ccc21,1.68
