smiles,logP,TPSA,MV
BrC(Br)(Br)Br,3.42,0.0,108.24800000000002
BrC1C2CC3C(C2)C13,3.11,0.0,119.06400000000002
BrC1CC2CCC1C2,3.54,0.0,125.80800000000004
BrC1CCCCC1,3.2,0.0,120.08000000000003
BrC=C(Br)Br,3.2,0.0,99.25600000000003
BrCC(CBr)(CBr)CBr,3.99,0.0,165.93600000000004
BrCC1CO1,0.85,12.53,83.96800000000002
BrCCCBr,2.37,0.0,100.81600000000003
BrCCCCCCCCCCBr,6.12,0.0,217.59200000000004
BrCCCc1ccccc1,3.72,0.0,152.14400000000003
BrCCc1ccccc1,3.09,0.0,135.22400000000002
BrCc1ccccc1,2.92,0.0,119.44000000000003
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,6.07,0.0,201.00000000000006
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,6.39,0.0,272.88000000000005
Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,5.5,0.0,310.36800000000005
Brc1cc(Br)c(Br)cc1Br,5.13,0.0,162.45600000000005
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,2.75,36.42,214.72800000000004
Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,8.71,9.23,319.3280000000001
Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,7.4,9.23,281.2320000000001
Brc1cc(Br)cc(Br)c1,4.51,0.0,143.13600000000002
Brc1cc2ccccc2nn1,1.72,25.78,137.94400000000005
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,6.1,13.14,230.68800000000005
Brc1ccc(-c2cc3ccccn3c2)cc1,5.43,4.41,202.16000000000005
Brc1ccc(-c2ccc(Br)cc2)cc1,5.72,0.0,193.37600000000003
Brc1ccc(-c2ccccc2)cc1,4.96,0.0,173.56800000000004
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,7.1,0.0,252.67200000000005
Brc1ccc(Br)cc1,3.79,0.0,123.28800000000003
Brc1ccc(NC2=NCCN2)cc1,1.75,36.42,174.31200000000004
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,6.84,9.23,261.80000000000007
Brc1ccc2cccnc2c1,2.92,12.89,142.40800000000004
Brc1ccc2ncccc2c1,2.83,12.89,141.83200000000002
Brc1cccc(-c2c[nH]c(SCCc3c[nH]cn3)n2)c1,3.76,57.36,260.66400000000004
Brc1cccc(-c2cc3ccccn3c2)c1,5.31,4.41,202.84800000000004
Brc1cccc(-c2ccccc2)c1,4.85,0.0,173.22400000000005
Brc1cccc(Br)c1,3.75,0.0,122.99200000000003
Brc1cccc(Br)c1NC1=NCCN1,1.96,36.42,194.56800000000004
Brc1cccc(NC2=NCCN2)c1Br,2.16,36.42,193.00800000000004
Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1,6.05,9.23,240.72800000000007
Brc1ccccc1,2.99,0.0,103.08800000000002
Brc1ccccc1-c1ccccc1,4.59,0.0,172.56800000000004
Brc1ccccc1Br,3.64,0.0,122.39200000000002
Brc1ccccn1,1.42,12.89,99.19200000000002
Brc1cccnc1,1.6,12.89,99.18400000000003
Brc1cccs1,2.75,0.0,94.54400000000003
Brc1ccncc1,1.54,12.89,99.11200000000002
Brc1ccoc1,2.18,13.14,85.48800000000001
Brc1ccsc1,2.62,0.0,94.68800000000002
Brc1ccsc1Br,3.53,0.0,114.49600000000002
Brc1cnc2ccccc2c1,3.03,12.89,141.86400000000003
Brc1cnccn1,0.93,25.78,95.65600000000002
Brc1cncnc1,0.72,25.78,95.70400000000002
Brc1nc(Br)c(Br)[nH]1,1.96,28.68,124.94400000000003
Brc1ncccn1,0.5,25.78,95.44800000000002
C#CC(C)(C)N(C)C(C)C,2.29,3.24,161.61600000000004
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,3.43,29.1,217.50400000000005
C#CC(C)(C)O,0.28,20.23,92.90400000000002
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,3.0,32.34,214.98400000000004
C#CC(C)OC(=O)Nc1ccc(OCC)c(OCC)c1,2.68,56.790000000000006,265.24000000000007
C#CC(C=C)(CC)OC(N)=O,1.09,52.32,151.88000000000002
C#CC(C=CCl)(CC)OC(N)=O,1.71,52.32,167.80000000000004
C#CC(CC)OC(=O)Nc1ccc(OCC)c(OCC)c1,3.07,56.790000000000006,280.9840000000001
C#CC(OC(N)=O)c1ccccc1,1.59,52.32,162.93600000000004
C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(CC)CC21C,4.12,40.46,323.2080000000001
C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3C(OC)CC21C,2.87,49.69,313.9440000000001
C#CC1(O)C(F)CC2C3CCc4cc(O)ccc4C3CCC21C,3.3,40.46,290.2080000000001
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.11,37.3,306.6640000000001
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,3.16,37.3,317.6640000000001
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,2.97,37.3,290.1360000000001
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,4.53,46.260000000000005,317.78400000000005
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(CC)CC21C,4.28,40.46,317.87200000000007
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OC)CC21C,3.01,49.69,309.38400000000007
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67,40.46,284.48800000000006
C#CC1(O)CCCCC1,1.73,20.23,131.48800000000003
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,4.49,46.61,414.4560000000001
C#CC1(OC(=O)C2=CN(C)C=CC2)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,4.44,46.61,400.0560000000001
C#CCC(C)OC(=O)Nc1ccc(OCC)c(OCC)c1,2.86,56.790000000000006,281.2320000000001
C#CCC(N)C(=O)O,-1.8,63.32000000000001,108.90400000000002
C#CCC(O)(CC#C)c1cccnc1,1.29,33.120000000000005,181.10400000000004
C#CCC(O)(Cc1ccccc1)c1cccnc1,1.87,33.120000000000005,228.67200000000005
C#CCC(O)(c1ccc(C)cc1)c1cccnc1,1.83,33.120000000000005,229.04800000000006
C#CCC(O)(c1ccc(F)cc1)c1cccnc1,1.78,33.120000000000005,217.57600000000005
C#CCC(O)(c1ccccc1)c1cccnc1,1.67,33.120000000000005,211.89600000000004
C#CCC(O)(c1cccnc1)C1CCCCC1,2.09,33.120000000000005,228.34400000000005
C#CCC(O)(c1cccnc1)c1ccc(Cl)c(Cl)c1,2.42,33.120000000000005,242.96800000000005
C#CCC(O)(c1cccnc1)c1ccc(Cl)cc1Cl,2.29,33.120000000000005,242.08000000000007
C#CCC(O)(c1cccnc1)c1ccc2ccccc2c1,2.14,33.120000000000005,255.12800000000007
C#CCC(O)c1cccnc1,1.21,33.120000000000005,143.04800000000003
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.49,43.370000000000005,301.34400000000005
C#CCCC,1.98,0.0,84.65600000000002
C#CCCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,0.88,57.690000000000005,267.78400000000005
C#CCCC(C)=O,0.58,17.07,104.62400000000002
C#CCCCC,2.73,0.0,101.33600000000003
C#CCCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.54,56.790000000000006,265.31200000000007
C#CCCOCn1ccnc1C=NO,0.67,59.64,178.25600000000003
C#CCN(C)C(C)Cc1ccc(F)cc1,3.0,3.24,204.73600000000005
C#CCN(C)C(C)Cc1ccccc1,2.9,3.24,199.37600000000003
C#CCN(C)N=Nc1[nH]cnc1C(N)=O,0.33,99.72999999999999,185.29600000000005
C#CCN(CC#C)CC#C,1.27,3.24,140.88800000000003
C#CCN1C(=O)C2CC[C@@](C)(C1=O)C2(C)C,2.28,37.38,212.35200000000006
C#CCN1C(=O)COc2cc(F)c(-n3c(O)c4c(c3O)CCC=C4)cc21,2.55,74.93,297.36800000000005
C#CCNC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.0,86.63000000000001,375.9280000000001
C#CCNC(=O)NCCCC(NC(C)=O)C(=O)NCc1ccccc1,-0.31,99.33000000000001,331.77600000000007
C#CCNC(=O)NCCCCC(NC(C)=O)C(=O)NCc1ccccc1,0.23,99.33000000000001,347.80000000000007
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,3.9,57.650000000000006,290.8640000000001
C#CCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.68,56.790000000000006,247.96000000000006
C#CCOC1(c2ccccc2)CN(C)CCO1,1.87,21.700000000000003,220.85600000000005
C#CCOC1=Nc2cc(OC(=O)N3CCCC3)c(Cl)cc2OC1,2.93,60.36,283.07200000000006
C#CCON=CNc1cc(Cl)c(OCC#C)c(Cl)c1,3.3,42.849999999999994,246.84800000000007
C#CCON=CNc1cc(Cl)c(OCC#C)c(OCC#C)c1,2.3,52.08,280.8640000000001
C#CCON=CNc1cc(F)c(OCC#C)c(OCC#C)c1,1.8,52.08,269.21600000000007
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,5.0,44.760000000000005,326.75200000000007
C#CCOc1c(Cl)cc(N=CNOC(C)C)cc1Cl,3.9,42.849999999999994,256.9440000000001
C#CCOc1c(Cl)cc(N=CNOC(C)CC)cc1Cl,4.2,42.849999999999994,273.7200000000001
C#CCOc1c(Cl)cc(N=CNOC)cc1Cl,3.3,42.849999999999994,223.75200000000007
C#CCOc1c(Cl)cc(N=CNOCC#N)cc1Cl,3.0,66.63999999999999,243.86400000000006
C#CCOc1c(Cl)cc(N=CNOCC(=O)OCC)cc1Cl,3.6,69.14999999999999,286.39200000000005
C#CCOc1c(Cl)cc(N=CNOCC)cc1Cl,3.6,42.849999999999994,238.65600000000006
C#CCOc1c(Cl)cc(N=CNOCC=C)cc1Cl,3.7,42.849999999999994,250.32000000000005
C#CCOc1c(Cl)cc(N=CNOCC=CCl)cc1Cl,3.9,42.849999999999994,265.7440000000001
C#CCOc1c(Cl)cc(N=CNOCCC)cc1Cl,4.0,42.849999999999994,256.34400000000005
C#CCOc1c(Cl)cc(N=CNOCCCC)cc1Cl,4.4,42.849999999999994,273.9120000000001
C#CCOc1c(Cl)cc(N=CNOCCCl)cc1Cl,3.7,42.849999999999994,255.38400000000007
C#CCOc1c(Cl)cc(N=CNOCCOCC)cc1Cl,3.7,52.08,282.27200000000005
C#CCOc1c(Cl)cc(N=CNOCOC)cc1Cl,3.2,52.08,249.83200000000005
C#CCOc1c(Cl)cc(N=CNOCOCC)cc1Cl,3.5,52.08,265.31200000000007
C#CCOc1c(Cl)cc(N=CNOCSC)cc1Cl,3.6,42.849999999999994,259.10400000000004
C#CCOc1c(Cl)cc(N=CNOCc2ccccc2)cc1Cl,4.2,42.849999999999994,294.19200000000006
C#CCOc1c(Cl)cc(N=CNOc2ccc(C)cc2)cc1Cl,4.8,42.849999999999994,295.09600000000006
C#CCOc1c(Cl)cc(N=CNOc2ccccc2)cc1Cl,4.4,42.849999999999994,278.24000000000007
C#CCOc1c(Cl)cc(NC=NO)cc1Cl,2.8,53.849999999999994,206.66400000000004
C#CCOc1c(I)cc(C=C2C(=O)N(C)C(=S)N(C)C2=O)cc1OCC,3.72,59.08,344.8880000000001
C#CCOc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,3.95,57.26,280.4320000000001
C#CCOc1cc(N=CNOC)cc(Cl)c1OCC#C,2.3,52.08,255.10400000000007
C#CCOc1cc(N=CNOC)cc(F)c1OCC#C,1.8,52.08,246.53600000000006
C#CCOc1cc(N=CNOCC)cc(Cl)c1OCC#C,2.6,52.08,272.56800000000004
C#CCOc1cc(N=CNOCC)cc(F)c1OCC#C,2.1,52.08,263.24000000000007
C#CCOc1cc(N=CNOCC=C)cc(Cl)c1OCC#C,2.7,52.08,284.4480000000001
C#CCOc1cc(N=CNOCOC)cc(Cl)c1OCC#C,2.2,61.31,282.02400000000006
C#CCOc1cc(N=CNOCOC)cc(F)c1OCC#C,1.7,61.31,270.4320000000001
C#CCOc1cc(OC(=O)N(CC)CC)c(Cl)cc1Cl,3.95,38.77,271.28800000000007
C#CCOc1cc(OC(=O)N2CCC(F)(F)C2)c(Cl)cc1Cl,3.42,38.77,270.75200000000007
C#CCOc1cc(OC(=O)N2CCC(F)(F)CC2)c(Cl)cc1Cl,3.57,38.77,286.12800000000004
C#CCOc1cc(OC(=O)N2CCCC2)c(Cl)cc1Cl,3.82,38.77,260.91200000000003
C#CCOc1cc(OC(=O)N2CCCCC2)c(Cl)cc1Cl,4.25,38.77,275.4800000000001
C#CCOc1ccc(C2C3=C(CC(C)(C)CC3=O)OC3=C2C(=O)CC(C)(C)C3)cc1OCC,4.93,61.83,424.6400000000001
C#CCOc1ccc(N=CNOC)cc1OCC#C,1.6,52.08,238.14400000000006
C#CCOc1ccc(N=CNOCC)cc1OCC#C,1.9,52.08,258.0400000000001
C#CCOc1ccccc1OCC(O)CNC(C)(C)C,2.32,50.72,276.2560000000001
C#CCOn1c(=O)[nH]c(C)c(Br)c1=O,-0.1,64.09,176.80800000000005
C#CCn1cc(O)n(COC(=O)C2C(C=C(C)C)C2(C)C)c1=O,2.9,73.46000000000001,302.48800000000006
C#CCn1cncc1[N+](=O)[O-],0.52,60.959999999999994,130.00800000000004
C#CCn1nnc(Oc2ccc(NC(=O)N(C)C)cc2)n1,1.65,85.16999999999999,254.84800000000007
C#CCn1nnnc1Oc1ccc(NC(=O)N(C)C)cc1,1.0,85.17,254.29600000000005
C#Cc1cccc(NC(=O)c2cc(C(=O)Nc3cccc(C#C)c3)cc(N3C(=O)c4ccccc4C3=O)c2)c1,6.85,95.58000000000001,445.3280000000001
C#Cc1ccccc1,2.53,0.0,105.57600000000002
C(#Cc1ccccc1)c1ccccc1,4.78,0.0,176.40800000000004
C(#Cc1cscn1)c1ccccc1,2.6,12.89,163.88800000000003
C(#Cc1nccs1)c1ccccc1,3.2,12.89,163.65600000000003
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.77,6.48,362.26400000000007
C(=C/c1ccccc1)\c1ccccc1,4.81,0.0,180.62400000000005
C(=C/c1ccccn1)\c1ccccn1,2.11,25.78,173.05600000000004
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.77,6.48,362.5440000000001
C(=Cc1ccccc1)c1ccccc1,4.81,0.0,180.92800000000005
C(=Cc1ccccn1)c1ccccn1,2.11,25.78,172.64800000000005
C(=N/c1ccccc1)\c1ccccc1,2.82,12.36,177.44800000000004
C(=N/n1cnnc1)\c1ccc(-n2nc(-c3ccccc3)cc2-c2ccccc2)cc1,5.58,60.89,349.0880000000001
C(=NN1CCCCC1)c1ccccc1,3.04,15.6,191.40000000000003
C(=Nc1ccccc1)c1ccccc1,2.82,12.36,177.10400000000004
C/C(=C\c1ccccc1)C(=O)O,2.6,37.3,155.11200000000002
C/C(=C\c1ccccc1)[N+](=O)[O-],2.52,43.14,152.40000000000003
C/C(=C\c1ccco1)[C@@H]1c2c(-c3ccccc3)n[nH]c2OC(=N)C1C#N,4.82,98.69,304.6240000000001
C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,2.92,278.8,1198.4400000000003
C/C=C/c1ccccc1,3.35,0.0,127.12000000000003
C/N=C/c1ccccc1,1.64,12.36,123.13600000000002
C1=C(c2ccccc2)CCCC1,4.53,0.0,164.38400000000004
C1=C(c2ccccc2)CCNC1,1.99,12.03,160.72000000000003
C1=CC2C=CC1C2,2.67,0.0,95.34400000000002
C1=CC2CCC1C2,3.24,0.0,101.34400000000002
C1=CC=CC=CC=C1,3.08,0.0,110.86400000000003
C1=CC=CCC=C1,2.63,0.0,99.15200000000003
C1=CCC=CC1,2.3,0.0,89.13600000000002
C1=CCCC=C1,2.47,0.0,88.82400000000003
C1=CCCC=CCC1,3.16,0.0,122.35200000000003
C1=CCCC=CCCC=CCC1,5.5,0.0,183.23200000000006
C1=CCCCC1,2.86,0.0,95.08000000000003
C1=CCOC1,0.46,9.23,71.28800000000001
C1=COCCC1,0.69,9.23,87.40800000000002
C1=C\C=C/C=C\C=C/1,3.08,0.0,110.79200000000003
C1=C\CC/C=C\CC/1,3.16,0.0,121.39200000000002
C1=Cc2ccc3c4c(ccc(c24)C1)-c1ccccc1-3,5.78,0.0,217.61600000000004
C1=Cc2cccc3cccc1c23,3.94,0.0,142.91200000000003
C1=Cc2ccccc2C1,2.92,0.0,115.83200000000002
C1=c2ccc3c4c(ccc(c24)=C1)=CC=3,5.07,0.0,157.84000000000003
C1=c2ccc3cccc4ccc(c2c43)CC1,4.92,0.0,188.60000000000005
C1C2C3C2C2C1C32,2.9,0.0,92.58400000000002
C1C2CC3CC1CC(C2)C3,4.24,0.0,143.95200000000003
C1CC2=NOS3=C2C(=NO3)C1,1.1,43.18000000000001,130.50400000000002
C1CC2CC1C1OC21,1.58,12.53,107.84000000000003
C1CC2CCC1C2,3.78,0.0,106.91200000000002
C1CC2OC2CC1C1CO1,0.44,25.06,137.24000000000004
C1CCC(C2CO2)CC1,2.43,12.53,135.36000000000004
C1CCC2=NCCCN2CC1,1.38,15.6,158.50400000000005
C1CCC2OC2CC1,1.26,12.53,117.47200000000002
C1CCCC1,3.0,0.0,84.47200000000002
C1CCCCC1,3.44,0.0,100.52800000000002
C1CCCCCC1,4.0,0.0,116.19200000000002
C1CCCCCCC1,4.45,0.0,132.48800000000003
C1CCNC1,0.46,12.03,80.34400000000002
C1CCNCC1,0.84,12.03,96.30400000000002
C1CCOC1,0.46,9.23,77.06400000000002
C1CCOCC1,0.95,9.23,93.10400000000003
C1CCc2nnnn2CC1,0.14,43.6,128.08800000000002
C1CN2CCC1CC2,1.38,3.24,117.65600000000003
C1CNCCN1,-1.5,24.06,92.11200000000002
C1COCCN1,-0.86,21.259999999999998,88.58400000000002
C1COCCO1,-0.27,18.46,84.88800000000002
C1COCCOCCOCCO1,-0.04,36.92,168.20000000000005
C1COCCOCCOCCOCCO1,-0.48,46.150000000000006,209.67200000000005
C1COCCOCCOCCOCCOCCO1,-0.68,55.38000000000001,251.34400000000005
C1COCO1,-0.37,18.46,69.22400000000002
C1OC1C1CO1,-0.52,25.06,83.16000000000003
