|    |   num_epochs |   learn_rate |   fp_depth |   conv_width |   fp_length |   init_scale |   h1_size | data_file          |   NUM_EXP |   l2_penalty |   l1_penalty |   test R2 |
|---:|-------------:|-------------:|-----------:|-------------:|------------:|-------------:|----------:|:-------------------|----------:|-------------:|-------------:|----------:|
|  8 |           10 |           -3 |          3 |           10 |          60 |           -4 |       100 | logp_mean          |        12 |           -4 |            0 |  1.19303  |
|  3 |           10 |           -3 |          3 |           10 |          30 |           -4 |       100 | logP_wo_parameters |         7 |           -4 |            0 |  1.11536  |
|  6 |           10 |           -3 |          3 |           10 |          50 |           -4 |       100 | logp_mean          |        10 |           -4 |            0 |  0.921649 |
|  5 |           10 |           -3 |          3 |           10 |          40 |           -4 |       100 | logP_wo_parameters |         9 |           -4 |            0 |  0.908138 |
| 13 |           10 |           -3 |          3 |           10 |          80 |           -4 |       100 | logP_wo_parameters |        17 |           -4 |            0 |  0.845351 |
|  0 |           10 |           -3 |          3 |           10 |          20 |           -4 |       100 | logp_mean          |         4 |           -4 |            0 |  0.805644 |
|  2 |           10 |           -3 |          3 |           10 |          30 |           -4 |       100 | logp_mean          |         6 |           -4 |            0 |  0.795256 |
|  1 |           10 |           -3 |          3 |           10 |          20 |           -4 |       100 | logP_wo_parameters |         5 |           -4 |            0 |  0.764246 |
| 11 |           10 |           -3 |          3 |           10 |          70 |           -4 |       100 | logP_wo_parameters |        15 |           -4 |            0 |  0.755326 |
|  9 |           10 |           -3 |          3 |           10 |          60 |           -4 |       100 | logP_wo_parameters |        13 |           -4 |            0 |  0.748795 |
| 10 |           10 |           -3 |          3 |           10 |          70 |           -4 |       100 | logp_mean          |        14 |           -4 |            0 |  0.731555 |
| 12 |           10 |           -3 |          3 |           10 |          80 |           -4 |       100 | logp_mean          |        16 |           -4 |            0 |  0.695845 |
|  7 |           10 |           -3 |          3 |           10 |          50 |           -4 |       100 | logP_wo_parameters |        11 |           -4 |            0 |  0.695139 |
| 14 |           10 |           -3 |          4 |           10 |          20 |           -4 |       100 | logp_mean          |        18 |           -4 |            0 |  0.671799 |
|  4 |           10 |           -3 |          3 |           10 |          40 |           -4 |       100 | logp_mean          |         8 |           -4 |            0 |  0.655943 |
